sp_id	sp_gq_id	age	sex
936835469	450004088	18	F
936835528	450004088	18	F
936835527	450004088	19	F
936835526	450004088	19	F
936835525	450004088	24	F
936835524	450004088	21	F
936835523	450004088	19	F
936835522	450004088	21	F
936835521	450004088	19	F
936835520	450004088	20	F
936835519	450004088	18	F
936835518	450004088	18	F
936835517	450004088	18	F
936835516	450004088	19	F
936835515	450004088	18	F
936835514	450004088	21	F
936835513	450004088	18	F
936835512	450004088	19	F
936835511	450004088	19	F
936835510	450004088	20	F
936835509	450004088	19	F
936835508	450004088	21	F
936835507	450004088	19	F
936835506	450004088	22	F
936835505	450004088	21	F
936835504	450004088	19	F
936835503	450004088	18	F
936835502	450004088	19	F
936835322	450004088	22	F
936835321	450004088	22	F
936835320	450004088	19	F
936835319	450004088	19	F
936835318	450004088	23	F
936835317	450004088	24	F
936835316	450004088	22	F
936835315	450004088	20	F
936835314	450004088	21	F
936835313	450004088	18	F
936835312	450004088	18	F
936835170	450004088	22	M
936835171	450004088	19	M
936835172	450004088	18	M
936835173	450004088	17	F
936835174	450004088	17	F
936835175	450004088	17	F
936835176	450004088	17	F
936835177	450004088	17	F
936835468	450004088	22	F
936835467	450004088	19	F
936835466	450004088	21	F
936835465	450004088	18	F
936835464	450004088	20	F
936835463	450004088	19	F
936835462	450004088	23	F
936835461	450004088	19	F
936835460	450004088	18	F
936835459	450004088	24	F
936835458	450004088	51	F
936835457	450004088	19	F
936835456	450004088	22	F
936835455	450004088	19	F
936835454	450004088	19	F
936835453	450004088	29	F
936835452	450004088	19	F
936835451	450004088	19	F
936835450	450004088	19	F
936835449	450004088	18	F
936835448	450004088	18	F
936835447	450004088	20	F
936835446	450004088	18	F
936835445	450004088	21	F
936835444	450004088	24	F
936835443	450004088	32	F
936835442	450004088	18	F
936835441	450004088	20	F
936835440	450004088	20	F
936835439	450004088	19	F
936835438	450004088	19	F
936835437	450004088	19	F
936835436	450004088	18	F
936835435	450004088	18	F
936835434	450004088	24	F
936835433	450004088	19	F
936835432	450004088	23	F
936835431	450004088	19	F
936835430	450004088	19	F
936835429	450004088	19	F
936835844	450004088	18	F
936835843	450004088	24	F
936835842	450004088	20	F
936835841	450004088	19	F
936835840	450004088	19	F
936835839	450004088	19	F
936835838	450004088	22	F
936835837	450004088	23	F
936835836	450004088	19	F
936835835	450004088	18	F
936835834	450004088	21	F
936835833	450004088	21	F
936835832	450004088	18	F
936835831	450004088	19	F
936835830	450004088	23	F
936835829	450004088	20	F
936835828	450004088	18	F
936835827	450004088	23	F
936835826	450004088	24	F
936835825	450004088	21	F
936835824	450004088	23	F
936835823	450004088	22	F
936835822	450004088	19	F
936835821	450004088	18	F
936835820	450004088	23	F
936835819	450004088	18	F
936835818	450004088	19	F
936835817	450004088	19	F
936835816	450004088	19	F
936835815	450004088	23	F
936835814	450004088	19	F
936835813	450004088	18	F
936835812	450004088	23	F
936835811	450004088	18	F
936835810	450004088	19	F
936835809	450004088	19	F
936835808	450004088	18	F
936835428	450004088	24	F
936835427	450004088	19	F
936835426	450004088	24	F
936835425	450004088	27	F
936835424	450004088	19	F
936835423	450004088	19	F
936835422	450004088	23	F
936835178	450004088	17	F
936835179	450004088	17	F
936835180	450004088	17	F
936835181	450004088	19	F
936835182	450004088	19	F
936835183	450004088	21	F
936835184	450004088	20	F
936835421	450004088	18	F
936835420	450004088	20	F
936835419	450004088	19	F
936835418	450004088	19	F
936835417	450004088	19	F
936835416	450004088	21	F
936835415	450004088	19	F
936835414	450004088	21	F
936835413	450004088	19	F
936835412	450004088	21	F
936835411	450004088	18	F
936835185	450004088	19	F
936835186	450004088	20	F
936835187	450004088	18	F
936835188	450004088	23	F
936835189	450004088	18	F
936835190	450004088	20	F
936835191	450004088	19	F
936835192	450004088	19	F
936835193	450004088	19	F
936835194	450004088	18	F
936835195	450004088	19	F
936835196	450004088	19	F
936835197	450004088	23	F
936835198	450004088	18	F
936835199	450004088	19	F
936835200	450004088	21	F
936835311	450004088	19	F
936835310	450004088	19	F
936835309	450004088	20	F
936835308	450004088	19	F
936835307	450004088	21	F
936835306	450004088	23	F
936835305	450004088	18	F
936835304	450004088	18	F
936835303	450004088	18	F
936835302	450004088	18	F
936835301	450004088	20	F
936835300	450004088	22	F
936835410	450004088	19	F
936835409	450004088	24	F
936835299	450004088	19	F
936835298	450004088	18	F
936835297	450004088	19	F
936835296	450004088	21	F
936835295	450004088	19	F
936835294	450004088	28	F
936835293	450004088	18	F
936835292	450004088	18	F
936835291	450004088	18	F
936835290	450004088	18	F
936835289	450004088	19	F
936835288	450004088	21	F
936835287	450004088	22	F
936835501	450004088	19	F
936835286	450004088	22	F
936835285	450004088	24	F
936835284	450004088	19	F
936835404	450004088	19	F
936835405	450004088	19	F
936835406	450004088	19	F
936835407	450004088	19	F
936835408	450004088	19	F
936835283	450004088	23	F
936835282	450004088	18	F
936835281	450004088	21	F
936835280	450004088	19	F
936835279	450004088	21	F
936835278	450004088	23	F
936835277	450004088	22	F
936835276	450004088	24	F
936835275	450004088	21	F
936835274	450004088	21	F
936835629	450004088	19	F
936835630	450004088	18	F
936835631	450004088	24	F
936835632	450004088	24	F
936835273	450004088	19	F
936835272	450004088	18	F
936835271	450004088	20	F
936835270	450004088	19	F
936835269	450004088	19	F
936835268	450004088	19	F
936835267	450004088	19	F
936835266	450004088	24	F
936835265	450004088	19	F
936835264	450004088	19	F
936835263	450004088	20	F
936835262	450004088	21	F
936835261	450004088	19	F
936835260	450004088	18	F
936835259	450004088	19	F
936835258	450004088	19	F
936835257	450004088	22	F
936835256	450004088	19	F
936835255	450004088	19	F
936835500	450004088	19	F
936835499	450004088	18	F
936835498	450004088	21	F
936835497	450004088	21	F
936835496	450004088	19	F
936835495	450004088	18	F
936835254	450004088	19	F
936835253	450004088	19	F
936835252	450004088	18	F
936835251	450004088	22	F
936835250	450004088	19	F
936835633	450004088	24	F
936835634	450004088	20	F
936835635	450004088	20	F
936835636	450004088	41	F
936835403	450004088	20	F
936835402	450004088	23	F
936835401	450004088	18	F
936835400	450004088	23	F
936835399	450004088	19	F
936835398	450004088	24	F
936835397	450004088	19	F
936835396	450004088	18	F
936835395	450004088	20	F
936835394	450004088	18	F
936835637	450004088	21	F
936835638	450004088	19	F
936835639	450004088	18	F
936835640	450004088	22	F
936835641	450004088	19	F
936835642	450004088	18	F
936835643	450004088	25	F
936835644	450004088	19	F
936835645	450004088	21	F
936835646	450004088	19	F
936835772	450004088	18	F
936835773	450004088	19	F
936835249	450004088	24	F
936835248	450004088	20	F
936835247	450004088	19	F
936835246	450004088	23	F
936835393	450004088	23	F
936835392	450004088	18	F
936835245	450004088	19	F
936835244	450004088	19	F
936835243	450004088	20	F
936835242	450004088	19	F
936835241	450004088	18	F
936835240	450004088	23	F
936835239	450004088	19	F
936835238	450004088	20	F
936835237	450004088	20	F
936835869	450004088	20	F
936835870	450004088	24	F
936835871	450004088	22	F
936835872	450004088	22	F
936835873	450004088	19	F
936835874	450004088	19	F
936835875	450004088	21	F
936835647	450004088	18	F
936835374	450004088	19	F
936835375	450004088	21	F
936835774	450004088	20	F
936835376	450004088	24	F
936835377	450004088	23	F
936835378	450004088	18	F
936835379	450004088	19	F
936835380	450004088	19	F
936835381	450004088	25	F
936835382	450004088	21	F
936835383	450004088	19	F
936835384	450004088	20	F
936835385	450004088	21	F
936835386	450004088	23	F
936835876	450004088	19	F
936835877	450004088	21	F
936835878	450004088	19	F
936835879	450004088	21	F
936835880	450004088	18	F
936835881	450004088	20	F
936835594	450004088	21	F
936835593	450004088	20	F
936835592	450004088	19	F
936835591	450004088	18	F
936835590	450004088	23	F
936835584	450004088	18	F
936835583	450004088	19	F
936835582	450004088	19	F
936835587	450004088	20	F
936835775	450004088	20	F
936835776	450004088	24	F
936835777	450004088	19	F
936835778	450004088	19	F
936835779	450004088	19	F
936835780	450004088	18	F
936835781	450004088	19	F
936835782	450004088	19	F
936835783	450004088	19	F
936835784	450004088	18	F
936835785	450004088	19	F
936835786	450004088	21	F
936835787	450004088	19	F
936835788	450004088	24	F
936835789	450004088	20	F
936835387	450004088	19	F
936835388	450004088	19	F
936835389	450004088	19	F
936835390	450004088	18	F
936835391	450004088	19	F
936835882	450004088	18	F
936835883	450004088	19	F
936835884	450004088	22	F
936835885	450004088	22	F
936835886	450004088	22	F
936835887	450004088	19	F
936835888	450004088	19	F
936835889	450004088	19	F
936835890	450004088	18	F
936835891	450004088	19	F
936835892	450004088	20	F
936835893	450004088	19	F
936835894	450004088	18	F
936835895	450004088	21	F
936835896	450004088	21	F
936835897	450004088	20	F
936835898	450004088	19	F
936835899	450004088	18	F
936835900	450004088	20	F
936835901	450004088	19	F
936835902	450004088	19	F
936835903	450004088	19	F
936835904	450004088	22	F
936835905	450004088	24	F
936835648	450004088	20	F
936835649	450004088	18	F
936835650	450004088	20	F
936835651	450004088	19	F
936835652	450004088	21	F
936835790	450004088	23	F
936835653	450004088	22	F
936835654	450004088	23	F
936835655	450004088	18	F
936835656	450004088	21	F
936835770	450004088	19	F
936835769	450004088	19	F
936835768	450004088	22	F
936835767	450004088	21	F
936835581	450004088	21	F
936835575	450004088	21	F
936835574	450004088	20	F
936835573	450004088	19	F
936835572	450004088	23	F
936835571	450004088	19	F
936835570	450004088	18	F
936835543	450004088	19	F
936835544	450004088	18	F
936835545	450004088	18	F
936835546	450004088	19	F
936835547	450004088	18	F
936835548	450004088	19	F
936835569	450004088	19	F
936835657	450004088	18	F
936835658	450004088	23	F
936835659	450004088	19	F
936835660	450004088	23	F
936835661	450004088	18	F
936835662	450004088	18	F
936835663	450004088	23	F
936835664	450004088	21	F
936835665	450004088	18	F
936835666	450004088	23	F
936835667	450004088	22	F
936835668	450004088	18	F
936835669	450004088	23	F
936835670	450004088	18	F
936835671	450004088	19	F
936835672	450004088	19	F
936835673	450004088	19	F
936835674	450004088	18	F
936835675	450004088	29	F
936835676	450004088	23	F
936835677	450004088	19	F
936835678	450004088	24	F
936835568	450004088	19	F
936835766	450004088	19	F
936835201	450004088	19	F
936835202	450004088	19	F
936835203	450004088	20	F
936835204	450004088	20	F
936835205	450004088	22	F
936835206	450004088	19	F
936835207	450004088	19	F
936835208	450004088	19	F
936835209	450004088	23	F
936835210	450004088	21	F
936835211	450004088	19	F
936835549	450004088	19	F
936835550	450004088	19	F
936835906	450004088	18	F
936835551	450004088	21	F
936835552	450004088	19	F
936835907	450004088	24	F
936835908	450004088	19	F
936835553	450004088	18	F
936835909	450004088	23	F
936835554	450004088	19	F
936835555	450004088	19	F
936835556	450004088	19	F
936835557	450004088	24	F
936835558	450004088	18	F
936835559	450004088	18	F
936835560	450004088	24	F
936835561	450004088	26	F
936835910	450004088	34	F
936835911	450004088	18	F
936835912	450004088	18	F
936835913	450004088	19	F
936835914	450004088	19	F
936835915	450004088	19	F
936835916	450004088	28	F
936835917	450004088	22	F
936835918	450004088	18	F
936835562	450004088	23	F
936835563	450004088	21	F
936835564	450004088	19	F
936835565	450004088	19	F
936835566	450004088	24	F
936835567	450004088	19	F
936835679	450004088	23	F
936835680	450004088	19	F
936835681	450004088	19	F
936835682	450004088	19	F
936835683	450004088	20	F
936835684	450004088	19	F
936835685	450004088	19	F
936835686	450004088	36	F
936835687	450004088	23	F
936835688	450004088	19	F
936835689	450004088	18	F
936835919	450004088	23	F
936835920	450004088	21	F
936835921	450004088	18	F
936835922	450004088	22	F
936835923	450004088	19	F
936835924	450004088	23	F
936835925	450004088	19	F
936835926	450004088	19	F
936835927	450004088	23	F
936835928	450004088	23	F
936835929	450004088	20	F
936835930	450004088	22	F
936835931	450004088	21	F
936835932	450004088	21	F
936835733	450004088	22	F
936835494	450004088	18	F
936835493	450004088	20	F
936835492	450004088	18	F
936835491	450004088	18	F
936835490	450004088	20	F
936835807	450004088	18	F
936835806	450004088	19	F
936835805	450004088	20	F
936835804	450004088	22	F
936835803	450004088	21	F
936835802	450004088	28	F
936835801	450004088	22	F
936835800	450004088	23	F
936835799	450004088	23	F
936835798	450004088	23	F
936835797	450004088	23	F
936835796	450004088	22	F
936835489	450004088	18	F
936835488	450004088	18	F
936835487	450004088	23	F
936835795	450004088	19	F
936835794	450004088	19	F
936835793	450004088	20	F
936835792	450004088	24	F
936835791	450004088	23	F
936835734	450004088	19	F
936835735	450004088	18	F
936835736	450004088	19	F
936835737	450004088	20	F
936835738	450004088	21	F
936835739	450004088	18	F
936835740	450004088	19	F
936835741	450004088	21	F
936835690	450004088	18	F
936835691	450004088	19	F
936835692	450004088	21	F
936835693	450004088	18	F
936835694	450004088	20	F
936835695	450004088	21	F
936835696	450004088	19	F
936835697	450004088	18	F
936835698	450004088	22	F
936835699	450004088	23	F
936835700	450004088	22	F
936835701	450004088	19	F
936835702	450004088	21	F
936835703	450004088	18	F
936835704	450004088	18	F
936835705	450004088	23	F
936835212	450004088	21	F
936835213	450004088	21	F
936835214	450004088	18	F
936835215	450004088	18	F
936835216	450004088	23	F
936835217	450004088	32	F
936835218	450004088	19	F
936835219	450004088	24	F
936835220	450004088	21	F
936835221	450004088	22	F
936835222	450004088	23	F
936835223	450004088	20	F
936835224	450004088	21	F
936835225	450004088	19	F
936835226	450004088	20	F
936835227	450004088	19	F
936835580	450004088	18	F
936835537	450004088	21	F
936835228	450004088	21	F
936835229	450004088	34	F
936835230	450004088	20	F
936835231	450004088	19	F
936835232	450004088	19	F
936835233	450004088	21	F
936835234	450004088	19	F
936835579	450004088	19	F
936835578	450004088	19	F
936835577	450004088	28	F
936835576	450004088	20	F
936835585	450004088	19	F
936835538	450004088	18	F
936835539	450004088	19	F
936835540	450004088	19	F
936835541	450004088	24	F
936835542	450004088	18	F
936835589	450004088	22	F
936835371	450004088	22	F
936835370	450004088	21	F
936835600	450004088	19	F
936835601	450004088	21	F
936835602	450004088	19	F
936835597	450004088	19	F
936835596	450004088	18	F
936835595	450004088	19	F
936835603	450004088	21	F
936835372	450004088	18	F
936835373	450004088	20	F
936835604	450004088	19	F
936835605	450004088	19	F
936835486	450004088	21	F
936835484	450004088	22	F
936835485	450004088	19	F
936835483	450004088	18	F
936835606	450004088	19	F
936835607	450004088	21	F
936835608	450004088	21	F
936835609	450004088	19	F
936835610	450004088	20	F
936835235	450004088	21	F
936835236	450004088	19	F
936835765	450004088	22	F
936835764	450004088	22	F
936835763	450004088	21	F
936835762	450004088	21	F
936835761	450004088	19	F
936835760	450004088	18	F
936835759	450004088	19	F
936835366	450004088	19	F
936835365	450004088	20	F
936835611	450004088	23	F
936835612	450004088	23	F
936835613	450004088	24	F
936835614	450004088	20	F
936835615	450004088	19	F
936835616	450004088	18	F
936835617	450004088	22	F
936835598	450004088	24	F
936835599	450004088	19	F
936835367	450004088	19	F
936835368	450004088	19	F
936835369	450004088	20	F
936835588	450004088	19	F
936835771	450004088	22	F
936835618	450004088	24	F
936835619	450004088	18	F
936835620	450004088	20	F
936835621	450004088	20	F
936835622	450004088	21	F
936835623	450004088	20	F
936835624	450004088	20	F
936835625	450004088	18	F
936835626	450004088	24	F
936835364	450004088	21	F
936835363	450004088	19	F
936835362	450004088	19	F
936835361	450004088	23	F
936835360	450004088	21	F
936835359	450004088	18	F
936835358	450004088	20	F
936835357	450004088	19	F
936835356	450004088	21	F
936835355	450004088	24	F
936835354	450004088	21	F
936835353	450004088	42	F
936835352	450004088	19	F
936835351	450004088	20	F
936835350	450004088	24	F
936835349	450004088	19	F
936835348	450004088	19	F
936835347	450004088	23	F
936835346	450004088	18	F
936835345	450004088	21	F
936835344	450004088	23	F
936835343	450004088	18	F
936835342	450004088	20	F
936835341	450004088	22	F
936835340	450004088	22	F
936843559	450000107	18	F
936843557	450000107	25	F
936843556	450000107	19	F
936843555	450000107	23	F
936843554	450000107	18	F
936843553	450000107	21	F
936843208	450000107	24	M
936843207	450000107	20	M
936843206	450000107	20	M
936843552	450000107	19	F
936843551	450000107	19	F
936843550	450000107	22	F
936843549	450000107	20	F
936843548	450000107	22	F
936843547	450000107	19	F
936843546	450000107	18	F
936843545	450000107	20	F
936843544	450000107	19	F
936843543	450000107	19	F
936843542	450000107	21	F
936843541	450000107	20	F
936843540	450000107	19	F
936843539	450000107	18	F
936843538	450000107	19	F
936843537	450000107	21	F
936843536	450000107	24	F
936843535	450000107	19	F
936843534	450000107	24	F
936843533	450000107	21	F
936843532	450000107	24	F
936843531	450000107	22	F
936843530	450000107	27	F
936843529	450000107	21	F
936843528	450000107	18	F
936843527	450000107	19	F
936843526	450000107	18	F
936843525	450000107	21	F
936843524	450000107	20	F
936843523	450000107	19	F
936843522	450000107	20	F
936843521	450000107	18	F
936843520	450000107	20	F
936843519	450000107	22	F
936843518	450000107	23	F
936843517	450000107	21	F
936843516	450000107	24	F
936843515	450000107	21	F
936843514	450000107	18	F
936843513	450000107	20	F
936843512	450000107	20	F
936843511	450000107	19	F
936843510	450000107	18	F
936843509	450000107	19	F
936843508	450000107	19	F
936843507	450000107	21	F
936843506	450000107	21	F
936843505	450000107	18	F
936843504	450000107	21	F
936843503	450000107	19	F
936843502	450000107	19	F
936843501	450000107	19	F
936843500	450000107	19	F
936843499	450000107	24	F
936843498	450000107	18	F
936843497	450000107	27	F
936843496	450000107	20	F
936843495	450000107	20	F
936843494	450000107	22	F
936843493	450000107	18	F
936843492	450000107	23	F
936843491	450000107	19	F
936843490	450000107	19	F
936843489	450000107	21	F
936843488	450000107	20	F
936843487	450000107	19	F
936843486	450000107	19	F
936843485	450000107	18	F
936843484	450000107	21	F
936843483	450000107	18	F
936843482	450000107	19	F
936843481	450000107	23	F
936843480	450000107	18	F
936843479	450000107	23	F
936843478	450000107	22	F
936843477	450000107	18	F
936843476	450000107	20	F
936843475	450000107	19	F
936843474	450000107	22	F
936843473	450000107	23	F
936843472	450000107	32	F
936843471	450000107	21	F
936843470	450000107	18	F
936843469	450000107	22	F
936843468	450000107	18	F
936843467	450000107	18	F
936843466	450000107	19	F
936843465	450000107	22	F
936843464	450000107	19	F
936843463	450000107	22	F
936843462	450000107	23	F
936843461	450000107	23	F
936843460	450000107	21	F
936843459	450000107	19	F
936843458	450000107	18	F
936843457	450000107	19	F
936843456	450000107	22	F
936843223	450000107	24	M
936843606	450000107	24	F
936843605	450000107	18	F
936843604	450000107	32	F
936843209	450000107	22	M
936843455	450000107	18	F
936843205	450000107	18	M
936843204	450000107	20	M
936843203	450000107	21	M
936843202	450000107	20	M
936843201	450000107	19	M
936843200	450000107	18	M
936843199	450000107	19	M
936843198	450000107	19	M
936843197	450000107	20	M
936843196	450000107	19	M
936843195	450000107	19	M
936843194	450000107	27	M
936843193	450000107	19	M
936843192	450000107	18	M
936843191	450000107	19	M
936843190	450000107	22	M
936843189	450000107	18	M
936843454	450000107	20	F
936843453	450000107	19	F
936843452	450000107	19	F
936843451	450000107	18	F
936843450	450000107	23	F
936843449	450000107	18	F
936843448	450000107	23	F
936843447	450000107	19	F
936843446	450000107	19	F
936843445	450000107	20	F
936843444	450000107	18	F
936843443	450000107	19	F
936843442	450000107	20	F
936843441	450000107	20	F
936843440	450000107	24	F
936843439	450000107	21	F
936843438	450000107	21	F
936843437	450000107	18	F
936843436	450000107	19	F
936843435	450000107	29	F
936843434	450000107	19	F
936843433	450000107	21	F
936843432	450000107	18	F
936843431	450000107	18	F
936843430	450000107	19	F
936843188	450000107	19	M
936843187	450000107	24	M
936843186	450000107	19	M
936843185	450000107	19	M
936843184	450000107	21	M
936843183	450000107	21	M
936843182	450000107	20	M
936843181	450000107	18	M
936843180	450000107	18	M
936843179	450000107	19	M
936843178	450000107	24	M
936843177	450000107	21	M
936843176	450000107	21	M
936843429	450000107	18	F
936843428	450000107	22	F
936843427	450000107	18	F
936843426	450000107	19	F
936843425	450000107	19	F
936843424	450000107	24	F
936843423	450000107	23	F
936843422	450000107	21	F
936843421	450000107	18	F
936843420	450000107	19	F
936843419	450000107	19	F
936843418	450000107	19	F
936843417	450000107	17	F
936843175	450000107	19	M
936843174	450000107	18	M
936843173	450000107	21	M
936843172	450000107	21	M
936843171	450000107	21	M
936843170	450000107	19	M
936843169	450000107	19	M
936843168	450000107	24	M
936843167	450000107	21	M
936843166	450000107	24	M
936843165	450000107	20	M
936843164	450000107	23	M
936843163	450000107	22	M
936843162	450000107	23	M
936843161	450000107	22	M
936843160	450000107	23	M
936843159	450000107	21	M
936843158	450000107	21	M
936843157	450000107	19	M
936843156	450000107	19	M
936843155	450000107	20	M
936843154	450000107	24	M
936843153	450000107	19	M
936843152	450000107	22	M
936843151	450000107	19	M
936843150	450000107	20	M
936843149	450000107	19	M
936843148	450000107	22	M
936843147	450000107	37	M
936843146	450000107	19	M
936843145	450000107	21	M
936843144	450000107	23	M
936843143	450000107	18	M
936843142	450000107	18	M
936843141	450000107	20	M
936843140	450000107	19	M
936843139	450000107	19	M
936843138	450000107	19	M
936843137	450000107	23	M
936843136	450000107	18	M
936843135	450000107	19	M
936843134	450000107	24	M
936843133	450000107	19	M
936843132	450000107	19	M
936843131	450000107	19	M
936843130	450000107	21	M
936843129	450000107	22	M
936843128	450000107	21	M
936843127	450000107	24	M
936843126	450000107	19	M
936843125	450000107	20	M
936843124	450000107	19	M
936843123	450000107	19	M
936843122	450000107	18	M
936843121	450000107	21	M
936843120	450000107	20	M
936843119	450000107	19	M
936843118	450000107	18	M
936843117	450000107	19	M
936843116	450000107	19	M
936843115	450000107	20	M
936843114	450000107	22	M
936843113	450000107	19	M
936843112	450000107	19	M
936843111	450000107	19	M
936843110	450000107	22	M
936843109	450000107	24	M
936843108	450000107	19	M
936843107	450000107	18	M
936843106	450000107	20	M
936843105	450000107	21	M
936843104	450000107	21	M
936843103	450000107	19	M
936843102	450000107	19	M
936843101	450000107	18	M
936843100	450000107	18	M
936843099	450000107	20	M
936843098	450000107	19	M
936843097	450000107	19	M
936843096	450000107	22	M
936843095	450000107	18	M
936843094	450000107	19	M
936843093	450000107	18	M
936843092	450000107	19	M
936843091	450000107	24	M
936843090	450000107	22	M
936843089	450000107	18	M
936843088	450000107	19	M
936843087	450000107	20	M
936843086	450000107	21	M
936843085	450000107	23	M
936843084	450000107	19	M
936843083	450000107	19	M
936843082	450000107	20	M
936843081	450000107	19	M
936843080	450000107	24	M
936843079	450000107	24	M
936843078	450000107	19	M
936843077	450000107	19	M
936843076	450000107	18	M
936843075	450000107	24	M
936843074	450000107	24	M
936843073	450000107	19	M
936843072	450000107	22	M
936843071	450000107	20	M
936843070	450000107	19	M
936843069	450000107	23	M
936843068	450000107	20	M
936843067	450000107	22	M
936843066	450000107	22	M
936843065	450000107	18	M
936843064	450000107	20	M
936843063	450000107	19	M
936843062	450000107	21	M
936843061	450000107	20	M
936843060	450000107	19	M
936843059	450000107	22	M
936843058	450000107	19	M
936843057	450000107	22	M
936843056	450000107	20	M
936843055	450000107	20	M
936843054	450000107	24	M
936843053	450000107	18	M
936843052	450000107	21	M
936843051	450000107	22	M
936843050	450000107	22	M
936843049	450000107	19	M
936843048	450000107	22	M
936843047	450000107	19	M
936843046	450000107	23	M
936843045	450000107	19	M
936843044	450000107	21	M
936843043	450000107	19	M
936843042	450000107	34	M
936843041	450000107	20	M
936843040	450000107	21	M
936843039	450000107	26	M
936843038	450000107	23	M
936843037	450000107	18	M
936843036	450000107	20	M
936843035	450000107	19	M
936843034	450000107	19	M
936843033	450000107	19	M
936843032	450000107	20	M
936843031	450000107	24	M
936843030	450000107	20	M
936843029	450000107	21	M
936843028	450000107	21	M
936843027	450000107	19	M
936843026	450000107	21	M
936843025	450000107	22	M
936843024	450000107	18	M
936843023	450000107	19	M
936843022	450000107	24	M
936843021	450000107	18	M
936843020	450000107	19	M
936843019	450000107	19	M
936843018	450000107	22	M
936843017	450000107	19	M
936843016	450000107	22	M
936843015	450000107	19	M
936843014	450000107	19	M
936843013	450000107	19	M
936843012	450000107	28	M
936843011	450000107	22	M
936843010	450000107	19	M
936843009	450000107	24	M
936843008	450000107	21	M
936843007	450000107	19	M
936843006	450000107	19	M
936843005	450000107	21	M
936843004	450000107	19	M
936843003	450000107	22	M
936843002	450000107	22	M
936843001	450000107	19	M
936843000	450000107	23	M
936842999	450000107	21	M
936842998	450000107	21	M
936842997	450000107	20	M
936842996	450000107	18	M
936842995	450000107	21	M
936842994	450000107	24	M
936842993	450000107	28	M
936842992	450000107	19	M
936842991	450000107	19	M
936842990	450000107	19	M
936842989	450000107	23	M
936842988	450000107	19	M
936842987	450000107	27	M
936842986	450000107	19	M
936842985	450000107	19	M
936842984	450000107	18	M
936843416	450000107	19	M
936843415	450000107	23	M
936843414	450000107	18	M
936843413	450000107	23	M
936843412	450000107	21	M
936843411	450000107	24	M
936843410	450000107	19	M
936843409	450000107	22	M
936843408	450000107	19	M
936843407	450000107	19	M
936843406	450000107	19	M
936843405	450000107	19	M
936843404	450000107	18	M
936843403	450000107	18	M
936842983	450000107	18	M
936842982	450000107	18	M
936842981	450000107	20	M
936842980	450000107	18	M
936842979	450000107	21	M
936842978	450000107	18	M
936843402	450000107	21	M
936843401	450000107	27	M
936843400	450000107	21	M
