OBJECTID,ZIP,OBJECTID_1,DEPCODE,COUNTYNAME,FieldMatch,POName,Places,OBJECTID_12,ZIPX,c_places,Cases_1,LabelY,SHAPE_Length,SHAPE_Area
40,32063,144,2,Baker,Baker-32063,Macclenny,Macclenny,24,Baker-32063,Macclenny,1613,1613,0.81596826,0.018487629
41,32064,149,61,Suwannee,Suwannee-32064,Live Oak,Live Oak,1052,Suwannee-32064,"Boys Ranch, Dowling Park, Live Oak",907,907,0.326305891,0.002104608
42,32065,150,10,Clay,Clay-32065,Orange Park,"Jacksonville, Lakeside, Oakleaf Plantation",174,Clay-32065,"Middleburg, Orange Park",3215,3215,0.484732549,0.005147749
43,32066,153,34,Lafayette,Lafayette-32066,Mayo,"Mayo, Day",508,Lafayette-32066,Mayo,1566,1566,1.908965032,0.107288627
44,32068,157,10,Clay,Clay-32068,Middleburg,"Asbury Lake, Fleming Island, Lakeside, Middleburg, Oakleaf Plantation",175,Clay-32068,"Apopka, Middleburg",4084,4084,1.147308937,0.027060775
45,32071,161,61,Suwannee,Suwannee-32071,O Brien,Branford,1053,Suwannee-32071,O Brien,267,267,1.131116778,0.022107644
46,32073,162,10,Clay,Clay-32073,Orange Park,"Orange Park, Jacksonville, Bellair-Meadowbrook Terrace, Fleming Island, Lakeside, Oakleaf Plantation",176,Clay-32073,Orange Park,3552,3552,0.411450448,0.004709769
47,32080,164,18,Flagler,Flagler-32080,Saint Augustine,Marineland,356,Flagler-32080,,0,0,0.022254317,1.33E-05
48,32080,165,55,St. Johns,St. Johns-32080,Saint Augustine,"St. Augustine, St. Augustine Beach, Marineland, Butler Beach, Crescent Beach",1009,St. Johns-32080,"Anastasia Island, Saint Augustine, Saint Augustine Beach",1346,1346,0.567322676,0.004644181
49,32081,166,16,Duval,Duval-32081,Ponte Vedra,"Jacksonville, Nocatee",300,Duval-32081,Ponte Vedra,43,43,0.215484206,0.000813545
50,32081,167,55,St. Johns,St. Johns-32081,Ponte Vedra,"Jacksonville, Nocatee",1010,St. Johns-32081,"Ponte Vedra, Ponte Vedra Beach, Town Of Nocatee",1527,1527,0.452239267,0.007244411
51,32082,169,55,St. Johns,St. Johns-32082,Ponte Vedra Beach,"Jacksonville Beach, Nocatee, Palm Valley, Sawgrass",1011,St. Johns-32082,"Bonnie, Ponte Vedra, Ponte Vedra Beach",2488,2488,0.791399612,0.011173589
52,32083,172,63,Union,Union-32083,Raiford,Raiford,1064,Union-32083,Raiford,188,188,0.534403917,0.009712503
53,32084,173,55,St. Johns,St. Johns-32084,Saint Augustine,"St. Augustine, Villano Beach, World Golf Village",1012,St. Johns-32084,"Saint Augusaintine Beach, Saint Augustine, Saint Augustine Beach",2706,2706,0.603923445,0.010150527
54,32086,175,55,St. Johns,St. Johns-32086,Saint Augustine,"St. Augustine, Palm Coast, St. Augustine Shores, St. Augustine South",1013,St. Johns-32086,"Saint Augusaintine Beach, Saint Augustine, Saint Augustine Beach",2345,2345,0.679496527,0.017083198
55,32087,177,2,Baker,Baker-32087,Sanderson,Sanderson,25,Baker-32087,Sanderson,938,938,1.622533238,0.090148908
56,32091,181,4,Bradford,Bradford-32091,Starke,"Hampton, Starke",44,Bradford-32091,"Kingsley Lake, Starke",1935,1935,1.291454157,0.030001585
57,32091,182,10,Clay,Clay-32091,Starke,Middleburg,177,Clay-32091,Starke,<5,-2,0.840275765,0.017772233
58,32092,186,55,St. Johns,St. Johns-32092,Saint Augustine,World Golf Village,1014,St. Johns-32092,"Orlando, Saint Augustine",3224,3224,1.157028881,0.038683022
59,32094,187,12,Columbia,Columbia-32094,Wellborn,Wellborn,207,Columbia-32094,Wellborn,<5,-2,0.399173997,0.001112814
60,32094,188,61,Suwannee,Suwannee-32094,Wellborn,Wellborn,1054,Suwannee-32094,Wellborn,213,213,1.134784912,0.013559894
61,32095,189,55,St. Johns,St. Johns-32095,Saint Augustine,"St. Augustine, Nocatee, World Golf Village",1015,St. Johns-32095,Saint Augustine,1095,1095,0.671843361,0.017055646
62,32096,190,12,Columbia,Columbia-32096,White Springs,White Springs,208,Columbia-32096,White Springs,15,15,1.151179573,0.00941163
63,32096,191,24,Hamilton,Hamilton-32096,White Springs,White Springs,389,Hamilton-32096,White Springs,222,222,1.012382985,0.013556163
64,32096,192,61,Suwannee,Suwannee-32096,White Springs,White Springs,1055,Suwannee-32096,,0,0,0.357435616,0.00074998
65,32097,195,45,Nassau,Nassau-32097,Yulee,"Jacksonville, Yulee",687,Nassau-32097,"Fernandina Beach, Wildlight, Yulee",1736,1736,1.421366562,0.030941945
66,32102,196,35,Lake,Lake-32102,Astor,Astor,509,Lake-32102,Astor,100,100,0.689784889,0.010184504
67,32102,198,64,Volusia,Volusia-32102,Astor,Astor,1066,Volusia-32102,,0,0,0.608318209,0.001608085
68,32110,199,18,Flagler,Flagler-32110,Bunnell,"Bunnell, Palm Coast",357,Flagler-32110,Bunnell,522,522,1.561905796,0.070918768
69,32112,205,54,Putnam,Putnam-32112,Crescent City,"Crescent City, Pomona Park, Welaka",941,Putnam-32112,"Crescent City, Welaka",702,702,1.549018009,0.025151548
70,32113,208,42,Marion,Marion-32113,Citra,McIntosh,630,Marion-32113,Citra,473,473,1.250439714,0.015843421
71,32114,210,64,Volusia,Volusia-32114,Daytona Beach,"Daytona Beach, South Daytona, Holly Hill",1067,Volusia-32114,"Daytona Beach, Maitland, Port Orange",2655,2655,0.277777703,0.004150437
72,32117,211,64,Volusia,Volusia-32117,Daytona Beach,"Daytona Beach, Ormond Beach, Holly Hill",1068,Volusia-32117,"Daytona Beach, Holly Hill, Orlando",2298,2298,0.277387039,0.002949254
73,32118,212,64,Volusia,Volusia-32118,Daytona Beach,"Daytona Beach, Ormond Beach, Port Orange, Daytona Beach Shores",1069,Volusia-32118,"Daytona Beach, Daytona Beach Shores, Maitland, Orlando",922,922,0.329823787,0.00149303
74,32119,213,64,Volusia,Volusia-32119,Daytona Beach,"Daytona Beach, South Daytona, Port Orange",1070,Volusia-32119,"Daytona Beach, Deland, Orlando, South Daytona",1259,1259,0.336805572,0.002215734
75,32124,214,64,Volusia,Volusia-32124,Daytona Beach,Daytona Beach,1071,Volusia-32124,"Daytona Beach, Maitland, Orlando",826,826,0.932262449,0.019289016
76,32127,215,64,Volusia,Volusia-32127,Port Orange,"Ponce Inlet, South Daytona, Port Orange, Daytona Beach Shores",1072,Volusia-32127,"Maitland, Orlando, Ponce Inlet, Port Orange, Wilbur By The Sea",1745,1745,0.364132574,0.00442315
77,32128,216,64,Volusia,Volusia-32128,Port Orange,"Daytona Beach, Port Orange, New Smyrna Beach, Glencoe, Samsula-Spruce Creek",1073,Volusia-32128,"Maitland, Orlando, Port Orange",1256,1256,0.392208055,0.004469538
78,32129,217,64,Volusia,Volusia-32129,Port Orange,"Daytona Beach, South Daytona, Port Orange",1074,Volusia-32129,"Daytona Beach, Orlando, Port Orange",1254,1254,0.257442173,0.001703309
79,32130,218,64,Volusia,Volusia-32130,De Leon Springs,"Bunnell, De Leon Springs",1075,Volusia-32130,De Leon Springs,368,368,0.682552249,0.011804455
80,32131,220,54,Putnam,Putnam-32131,East Palatka,"Palatka, East Palatka",942,Putnam-32131,East Palatka,447,447,0.585676231,0.011093004
81,32131,221,55,St. Johns,St. Johns-32131,East Palatka,Flagler Estates,1016,St. Johns-32131,,0,0,0.283251052,0.000600521
82,32132,222,64,Volusia,Volusia-32132,Edgewater,"Edgewater, New Smyrna Beach, Glencoe",1076,Volusia-32132,"Edgewater, Orlando",405,405,0.302885137,0.001980864
83,32134,224,42,Marion,Marion-32134,Fort Mc Coy,Fort Mc Coy,631,Marion-32134,"Fort Mccoy, Palatka, Salt Springs",331,331,1.778419824,0.087185473
84,32134,225,54,Putnam,Putnam-32134,Fort Mc Coy,Fort Mc Coy,943,Putnam-32134,,0,0,0.595998469,0.001311596
85,32136,227,18,Flagler,Flagler-32136,Flagler Beach,"Flagler Beach, Beverly Beach, Palm Coast",358,Flagler-32136,"Beverly Beach, Flagler Beach, Orlando",423,423,0.398469227,0.004260291
86,32136,228,64,Volusia,Volusia-32136,Flagler Beach,Flagler Beach,1077,Volusia-32136,Flagler Beach,<5,-2,0.220272354,0.0009387
87,32137,229,18,Flagler,Flagler-32137,Palm Coast,"Flagler Beach, Bunnell, Marineland, Palm Coast",359,Flagler-32137,"Apopka, Orlando, Palm Coast",2309,2309,1.08885027,0.028219927
88,32139,231,54,Putnam,Putnam-32139,Georgetown,Georgetown,944,Putnam-32139,Georgetown,59,59,0.522931534,0.006153781
89,32140,234,54,Putnam,Putnam-32140,Florahome,Florahome,945,Putnam-32140,Florahome,94,94,0.455255659,0.008537067
90,32141,236,64,Volusia,Volusia-32141,Edgewater,"Edgewater, Oak Hill",1078,Volusia-32141,Edgewater,859,859,1.064901615,0.013895537
91,32145,239,55,St. Johns,St. Johns-32145,Hastings,"Hastings, Palm Coast, Flagler Estates",1017,St. Johns-32145,"Hastings, Saint Augustine",367,367,0.826439084,0.02182505
92,32148,241,54,Putnam,Putnam-32148,Interlachen,Interlachen,946,Putnam-32148,Interlachen,686,686,1.149994407,0.033764017
93,32159,242,35,Lake,Lake-32159,Lady Lake,"Fruitland Park, Lady Lake, The Villages",510,Lake-32159,"Lady Lake, The Villages",1617,1617,0.480972982,0.007084237
94,32159,244,60,Sumter,Sumter-32159,Lady Lake,The Villages,1038,Sumter-32159,"Lady Lake, The Villages",35,35,0.231914233,0.000964211
95,32162,246,42,Marion,Marion-32162,The Villages,The Villages,632,Marion-32162,"Lady Lake, The Villages",201,201,0.180285675,0.000866628
96,32162,247,60,Sumter,Sumter-32162,The Villages,"Wildwood, The Villages",1039,Sumter-32162,"Lady Lake, The Villages",2401,2401,0.554030542,0.005011098
97,32163,248,35,Lake,Lake-32163,The Villages,"Fruitland Park, The Villages",511,Lake-32163,The Villages,28,28,0.08374728,0.000352805
98,32163,249,60,Sumter,Sumter-32163,The Villages,"Wildwood, The Villages",1040,Sumter-32163,The Villages,1608,1608,0.294314995,0.002208528
99,32164,250,18,Flagler,Flagler-32164,Palm Coast,"Bunnell, Palm Coast",360,Flagler-32164,"Orlando, Palm Coast",2752,2752,0.521036899,0.008251155
100,32168,251,64,Volusia,Volusia-32168,New Smyrna Beach,"Edgewater, Ponce Inlet, Port Orange, New Smyrna Beach, Glencoe, Samsula-Spruce Creek",1079,Volusia-32168,"New Smyrna, New Smyrna Beach, Orlando",1745,1745,1.428357155,0.032320171
101,32169,252,64,Volusia,Volusia-32169,New Smyrna Beach,"Oak Hill, New Smyrna Beach",1080,Volusia-32169,"New Smyrna, New Smyrna Beach",668,668,0.876116132,0.004359247
102,32174,253,18,Flagler,Flagler-32174,Ormond Beach,"Bunnell, Ormond Beach",361,Flagler-32174,Ormond Beach,<5,-2,0.560506387,0.010323884
103,32174,254,64,Volusia,Volusia-32174,Ormond Beach,"Bunnell, Daytona Beach, Ormond Beach, Holly Hill",1081,Volusia-32174,"Daytona Beach, Orlando, Ormond Beach, Port Orange",2913,2913,1.082978005,0.02215964
104,32176,255,64,Volusia,Volusia-32176,Ormond Beach,"Flagler Beach, Ormond Beach, Ormond-by-the-Sea",1082,Volusia-32176,"Orlando, Ormond Beach",705,705,0.335759025,0.001426958
105,32177,258,54,Putnam,Putnam-32177,Palatka,"Welaka, Palatka, East Palatka",947,Putnam-32177,"Palatka, Putnam",2694,2694,1.881120018,0.061253609
106,32179,260,42,Marion,Marion-32179,Ocklawaha,Ocklawaha,633,Marion-32179,"Ocklawaha, Oklawaha",442,442,1.154825455,0.021843879
107,32180,264,64,Volusia,Volusia-32180,Pierson,"Pierson, Astor, Seville",1083,Volusia-32180,"Orlando, Pierson",318,318,1.324092009,0.038277971
108,32181,265,54,Putnam,Putnam-32181,Pomona Park,"Pomona Park, Welaka",948,Putnam-32181,Pomona Park,155,155,0.514256049,0.00785735
109,32187,267,54,Putnam,Putnam-32187,San Mateo,Bunnell,949,Putnam-32187,San Mateo,123,123,0.539637815,0.005575802
110,32189,268,54,Putnam,Putnam-32189,Satsuma,Satsuma,950,Putnam-32189,Satsuma,305,305,0.698073974,0.007900316
111,32190,272,64,Volusia,Volusia-32190,Seville,Seville,1084,Volusia-32190,Seville,99,99,0.776903553,0.013476358
112,32193,273,54,Putnam,Putnam-32193,Welaka,Welaka,951,Putnam-32193,Welaka,68,68,0.133863832,0.000509752
113,32195,274,35,Lake,Lake-32195,Weirsdale,Lady Lake,512,Lake-32195,Weirsdale,<5,-2,0.266551493,0.000810523
114,32195,275,42,Marion,Marion-32195,Weirsdale,Lady Lake,634,Marion-32195,Weirsdale,221,221,0.419841291,0.004691645
115,32202,276,16,Duval,Duval-32202,Jacksonville,Jacksonville,301,Duval-32202,Jacksonville,1991,1991,0.176958845,0.000706363
116,32204,277,16,Duval,Duval-32204,Jacksonville,Jacksonville,302,Duval-32204,Jacksonville,1013,1013,0.174183337,0.001093774
117,32205,278,16,Duval,Duval-32205,Jacksonville,Jacksonville,303,Duval-32205,Jacksonville,2497,2497,0.240488602,0.001832692
118,32206,279,16,Duval,Duval-32206,Jacksonville,Jacksonville,304,Duval-32206,"Jacksonville, Orlando",1441,1441,0.222134052,0.001905923
119,32207,280,16,Duval,Duval-32207,Jacksonville,Jacksonville,305,Duval-32207,"Alachua, Jacksonville",3213,3213,0.27540317,0.003969899
120,32208,281,16,Duval,Duval-32208,Jacksonville,Jacksonville,306,Duval-32208,Jacksonville,3697,3697,0.309669766,0.003154916
121,32209,282,16,Duval,Duval-32209,Jacksonville,Jacksonville,307,Duval-32209,Jacksonville,2981,2981,0.292576486,0.002375783
122,32210,283,16,Duval,Duval-32210,Jacksonville,Jacksonville,308,Duval-32210,Jacksonville,5508,5508,0.552905964,0.006693721
123,32211,284,16,Duval,Duval-32211,Jacksonville,Jacksonville,309,Duval-32211,Jacksonville,2662,2662,0.246111218,0.002231425
124,32212,286,16,Duval,Duval-32212,Jacksonville,Jacksonville,310,Duval-32212,"Jacksonville, Jacksonville Naval Air Station",951,951,0.278747278,0.001868112
125,32214,287,16,Duval,Duval-32214,Jacksonville,Jacksonville,311,Duval-32214,"Jacksonville, Jacksonville Naval Hospital",45,45,0.08093885,0.000207915
126,32216,288,16,Duval,Duval-32216,Jacksonville,Jacksonville,312,Duval-32216,"Jacksonville, Orlando",4230,4230,0.254043573,0.003149133
127,32217,289,16,Duval,Duval-32217,Jacksonville,Jacksonville,313,Duval-32217,Jacksonville,1621,1621,0.210149446,0.002205686
128,32218,290,16,Duval,Duval-32218,Jacksonville,"Jacksonville, Nassau Village-Ratliff",314,Duval-32218,Jacksonville,6320,6320,0.93673244,0.024341066
129,32219,292,16,Duval,Duval-32219,Jacksonville,"Jacksonville, Nassau Village-Ratliff",315,Duval-32219,"Dinsmore, Jacksonville",1347,1347,0.764280793,0.016061266
130,32220,294,16,Duval,Duval-32220,Jacksonville,"Baldwin, Jacksonville",316,Duval-32220,Jacksonville,1186,1186,0.704655599,0.011293547
131,32221,297,16,Duval,Duval-32221,Jacksonville,Jacksonville,317,Duval-32221,"Jacksonville, Orange Park",2983,2983,0.649720671,0.011125258
132,32222,299,16,Duval,Duval-32222,Jacksonville,Jacksonville,318,Duval-32222,Jacksonville,1262,1262,0.270165068,0.002913959
133,32223,301,16,Duval,Duval-32223,Jacksonville,"Orange Park, Jacksonville, Fleming Island",319,Duval-32223,Jacksonville,1993,1993,0.290462642,0.005089699
134,32224,303,16,Duval,Duval-32224,Jacksonville,"Neptune Beach, Jacksonville",320,Duval-32224,"Jacksonville, Winter Garden",3280,3280,0.459189205,0.004108563
135,32225,305,16,Duval,Duval-32225,Jacksonville,"Atlantic Beach, Jacksonville",321,Duval-32225,Jacksonville,5040,5040,0.401444406,0.007522961
136,32226,306,16,Duval,Duval-32226,Jacksonville,Jacksonville,322,Duval-32226,"Jacksonville, Orlando",1717,1717,1.147201811,0.026450496
137,32227,308,16,Duval,Duval-32227,Jacksonville,Jacksonville,323,Duval-32227,"Jacksonville, Mayport, Mayport Naval Housing",126,126,0.143395004,0.000676419
138,32233,309,16,Duval,Duval-32233,Atlantic Beach,"Atlantic Beach, Neptune Beach, Jacksonville",324,Duval-32233,"Atlantic Beach, Jacksonville, Mayport",1812,1812,0.296555082,0.002773555
139,32234,310,2,Baker,Baker-32234,Jacksonville,Jacksonville,26,Baker-32234,Jacksonville,<5,-2,0.29689394,0.00103231
140,32234,312,10,Clay,Clay-32234,Jacksonville,Jacksonville,178,Clay-32234,Jacksonville,<5,-2,0.719314633,0.010989254
141,32234,313,16,Duval,Duval-32234,Jacksonville,"Baldwin, Jacksonville",325,Duval-32234,"Baldwin, Jacksonville, Maxville",588,588,0.776870284,0.016960615
142,32234,314,45,Nassau,Nassau-32234,Jacksonville,Jacksonville,688,Nassau-32234,"Bryceville, Jacksonville",<5,-2,0.32852809,0.001911188
143,32244,316,16,Duval,Duval-32244,Jacksonville,Jacksonville,326,Duval-32244,Jacksonville,5011,5011,0.454523714,0.00612804
144,32246,317,16,Duval,Duval-32246,Jacksonville,Jacksonville,327,Duval-32246,Jacksonville,4875,4875,0.348804868,0.004714078
145,32250,318,16,Duval,Duval-32250,Jacksonville Beach,"Jacksonville Beach, Neptune Beach, Jacksonville",328,Duval-32250,"Jacksonville, Jacksonville Beach",2962,2962,0.307241449,0.002602266
146,32254,320,16,Duval,Duval-32254,Jacksonville,Jacksonville,329,Duval-32254,Jacksonville,1180,1180,0.283942419,0.002939827
147,32256,321,16,Duval,Duval-32256,Jacksonville,Jacksonville,330,Duval-32256,"Jacksonville, Orlando",4326,4326,0.555023347,0.0157754
148,32257,323,16,Duval,Duval-32257,Jacksonville,Jacksonville,331,Duval-32257,"Jacksonville, Orlando",3397,3397,0.294807641,0.004067069
149,32258,324,16,Duval,Duval-32258,Jacksonville,"Jacksonville, Fruit Cove",332,Duval-32258,"Jacksonville, Orlando",2961,2961,0.364906024,0.004510277
150,32259,328,55,St. Johns,St. Johns-32259,Saint Johns,"Jacksonville, Fleming Island, Fruit Cove, Nocatee",1018,St. Johns-32259,"Fruit Cove, Jacksonville, Julington Creek, Saint Johns, Switzerland",4475,4475,0.658227718,0.015887433
151,32266,329,16,Duval,Duval-32266,Neptune Beach,"Atlantic Beach, Jacksonville Beach, Neptune Beach",333,Duval-32266,"Jacksonville, Jacksonville Beach, Neptune Beach",652,652,0.116681877,0.00063813
152,32277,330,16,Duval,Duval-32277,Jacksonville,Jacksonville,334,Duval-32277,Jacksonville,2543,2543,0.293175548,0.002832965
153,32301,331,37,Leon,Leon-32301,Tallahassee,Tallahassee,575,Leon-32301,Tallahassee,3099,3099,0.344330785,0.00273053
154,32303,333,37,Leon,Leon-32303,Tallahassee,"Midway, Tallahassee",576,Leon-32303,"Orlando, Tallahassee",4184,4184,0.740267175,0.009764201
155,32304,335,37,Leon,Leon-32304,Tallahassee,"Midway, Tallahassee",577,Leon-32304,"Maitland, Oakland, Orlando, Tallahassee, Windermere, Winter Park",6304,6304,0.485116149,0.003802785
156,32305,336,37,Leon,Leon-32305,Tallahassee,"Tallahassee, Woodville",578,Leon-32305,Tallahassee,1757,1757,1.06403093,0.022608579
157,32306,338,37,Leon,Leon-32306,Tallahassee,"Florida State University, Florida A&M University",579,Leon-32306,"Florida State Univ Admin, Florida State University, Orlando, Tallahassee",961,961,0.040622356,6.32E-05
158,32308,340,37,Leon,Leon-32308,Tallahassee,Tallahassee,580,Leon-32308,"Centerville, Maitland, Tallahassee",2323,2323,0.328219792,0.003484641
159,32309,342,33,Jefferson,Jefferson-32309,Tallahassee,Tallahassee,502,Jefferson-32309,,0,0,0.480621655,0.000286307
160,32309,343,37,Leon,Leon-32309,Tallahassee,Tallahassee,581,Leon-32309,"Centerville, Miccosukee, Tallahassee",2270,2270,1.008271604,0.031261068
161,32310,345,37,Leon,Leon-32310,Tallahassee,Tallahassee,582,Leon-32310,Tallahassee,1656,1656,1.318187455,0.041232303
162,32311,349,37,Leon,Leon-32311,Tallahassee,Tallahassee,583,Leon-32311,"Naples, Tallahassee",1684,1684,0.952148326,0.018963072
163,32312,353,37,Leon,Leon-32312,Tallahassee,Tallahassee,584,Leon-32312,Tallahassee,2641,2641,1.167669086,0.025890321
164,32317,355,37,Leon,Leon-32317,Tallahassee,Tallahassee,585,Leon-32317,"Centerville, Tallahassee",1156,1156,0.537464383,0.010531738
165,32320,356,19,Franklin,Franklin-32320,Apalachicola,Apalachicola,362,Franklin-32320,Apalachicola,392,392,1.326971577,0.016372721
166,32321,361,39,Liberty,Liberty-32321,Bristol,"Bristol, Lake Mystic, Sumatra",600,Liberty-32321,Bristol,812,812,2.317601452,0.089013092
167,32322,362,19,Franklin,Franklin-32322,Carrabelle,Carrabelle,363,Franklin-32322,Carrabelle,519,519,1.581715344,0.040424558
168,32324,366,20,Gadsden,Gadsden-32324,Chattahoochee,"Gretna, Chattahoochee",369,Gadsden-32324,Chattahoochee,729,729,0.748085698,0.016128486
169,32327,369,37,Leon,Leon-32327,Crawfordville,Woodville,586,Leon-32327,Crawfordville,<5,-2,0.472276103,0.00028646
170,32327,370,65,Wakulla,Wakulla-32327,Crawfordville,"St. Marks, Crawfordville, Woodville",1096,Wakulla-32327,"Crawfordville, Wakulla Springs",2842,2842,3.471476762,0.08563863
171,32328,371,19,Franklin,Franklin-32328,Eastpoint,"Eastpoint, St. George Island",365,Franklin-32328,"Eastpoint, Saint George Island",313,313,3.986057019,0.065302126
172,32331,376,33,Jefferson,Jefferson-32331,Greenville,Greenville,503,Jefferson-32331,Greenville,<5,-2,0.714787401,0.013082386
173,32331,377,40,Madison,Madison-32331,Greenville,Greenville,604,Madison-32331,Greenville,333,333,1.885774264,0.063452107
174,32331,378,62,Taylor,Taylor-32331,Greenville,Greenville,1056,Taylor-32331,Greenville,11,11,0.907925063,0.017613198
175,32332,379,20,Gadsden,Gadsden-32332,Gretna,Gretna,370,Gadsden-32332,Gretna,219,219,0.19145443,0.000821675
