OBJECTID,ZIP,OBJECTID_1,DEPCODE,COUNTYNAME,FieldMatch,POName,Places,OBJECTID_12,ZIPX,c_places,Cases_1,LabelY,Shape__Area,Shape__Length
31,32054,123,63,Union,Union-32054,Lake Butler,"Lake Butler, Worthington Springs",1062,Union-32054,Lake Butler,63,63,0.05009747814006,1.12036461302547
32,32055,126,12,Columbia,Columbia-32055,Lake City,"Lake City, Five Points, Watertown",205,Columbia-32055,Lake City,149,149,0.0958658662814287,2.00836056204772
33,32058,130,4,Bradford,Bradford-32058,Lawtey,Lawtey,43,Bradford-32058,Lawtey,24,24,0.0149336100380424,0.64249853532161
34,32058,131,10,Clay,Clay-32058,Lawtey,Lawtey,173,Clay-32058,,0,0,0.000438823917647824,0.328965531044663
35,32058,132,63,Union,Union-32058,Lawtey,Lawtey,1063,Union-32058,,0,0,0.000655235079875638,0.149375474466953
36,32059,134,40,Madison,Madison-32059,Lee,Lee,603,Madison-32059,Lee,21,21,0.0286625544865728,1.11621947966881
37,32060,139,61,Suwannee,Suwannee-32060,Live Oak,Live Oak,1050,Suwannee-32060,"Dowling Park, Live Oak",371,371,0.095978357711374,2.30160089701822
38,32061,140,12,Columbia,Columbia-32061,Lulu,Lulu,206,Columbia-32061,,0,0,0.00313972260710216,0.452216039477071
39,32062,142,61,Suwannee,Suwannee-32062,Mc Alpin,Mc Alpin,1051,Suwannee-32062,Mcalpin,21,21,0.0174545974959983,1.0941790890884
40,32063,144,2,Baker,Baker-32063,Macclenny,Macclenny,24,Baker-32063,Macclenny,119,119,0.0184876288865325,0.815968257113445
41,32064,149,61,Suwannee,Suwannee-32064,Live Oak,Live Oak,1052,Suwannee-32064,"Dowling Park, Live Oak",281,281,0.00210460784251154,0.326305891798174
42,32065,150,10,Clay,Clay-32065,Orange Park,"Jacksonville, Lakeside, Oakleaf Plantation",174,Clay-32065,Orange Park,314,314,0.00514774860744183,0.484732548447392
43,32066,153,34,Lafayette,Lafayette-32066,Mayo,"Mayo, Day",508,Lafayette-32066,Mayo,59,59,0.107288626649961,1.90896503064194
44,32068,157,10,Clay,Clay-32068,Middleburg,"Asbury Lake, Fleming Island, Lakeside, Middleburg, Oakleaf Plantation",175,Clay-32068,Middleburg,325,325,0.0270607746881524,1.14730893619772
45,32071,161,61,Suwannee,Suwannee-32071,O Brien,Branford,1053,Suwannee-32071,O Brien,34,34,0.0221076436796466,1.13111677912392
46,32073,162,10,Clay,Clay-32073,Orange Park,"Orange Park, Jacksonville, Bellair-Meadowbrook Terrace, Fleming Island, Lakeside, Oakleaf Plantation",176,Clay-32073,Orange Park,452,452,0.00470976886413155,0.411450448812683
47,32080,164,18,Flagler,Flagler-32080,Saint Augustine,Marineland,356,Flagler-32080,,0,0,1.32549628233392e-05,0.0222543155706862
48,32080,165,55,St. Johns,St. Johns-32080,Saint Augustine,"St. Augustine, St. Augustine Beach, Marineland, Butler Beach, Crescent Beach",1009,St. Johns-32080,Saint Augustine,155,155,0.0046441810648048,0.56732267586906
49,32081,166,16,Duval,Duval-32081,Ponte Vedra,"Jacksonville, Nocatee",300,Duval-32081,,<5,-2,0.000813544872926286,0.215484206430779
50,32081,167,55,St. Johns,St. Johns-32081,Ponte Vedra,"Jacksonville, Nocatee",1010,St. Johns-32081,"Ponte Vedra, Ponte Vedra Beach",164,164,0.00724441095303519,0.452239266699826
51,32082,169,55,St. Johns,St. Johns-32082,Ponte Vedra Beach,"Jacksonville Beach, Nocatee, Palm Valley, Sawgrass",1011,St. Johns-32082,"Ponte Vedra, Ponte Vedra Beach",330,330,0.0111735891341596,0.791399609989264
52,32083,172,63,Union,Union-32083,Raiford,Raiford,1064,Union-32083,Raiford,31,31,0.00971250290922399,0.534403919456347
53,32084,173,55,St. Johns,St. Johns-32084,Saint Augustine,"St. Augustine, Villano Beach, World Golf Village",1012,St. Johns-32084,Saint Augustine,223,223,0.010150526541338,0.603923445057632
54,32086,175,55,St. Johns,St. Johns-32086,Saint Augustine,"St. Augustine, Palm Coast, St. Augustine Shores, St. Augustine South",1013,St. Johns-32086,Saint Augustine,224,224,0.0170831984794404,0.679496529485569
55,32087,177,2,Baker,Baker-32087,Sanderson,Sanderson,25,Baker-32087,Sanderson,24,24,0.0901489077580209,1.62253324350389
56,32091,181,4,Bradford,Bradford-32091,Starke,"Hampton, Starke",44,Bradford-32091,Starke,108,108,0.030001585381342,1.29145415706331
57,32091,182,10,Clay,Clay-32091,Starke,Middleburg,177,Clay-32091,,0,0,0.0177722331582117,0.840275765045817
58,32092,186,55,St. Johns,St. Johns-32092,Saint Augustine,World Golf Village,1014,St. Johns-32092,Saint Augustine,272,272,0.0386830223130801,1.15702888128648
59,32094,187,12,Columbia,Columbia-32094,Wellborn,Wellborn,207,Columbia-32094,,0,0,0.00111281367162519,0.399173998278104
60,32094,188,61,Suwannee,Suwannee-32094,Wellborn,Wellborn,1054,Suwannee-32094,Wellborn,11,11,0.0135598938231851,1.13478491221678
61,32095,189,55,St. Johns,St. Johns-32095,Saint Augustine,"St. Augustine, Nocatee, World Golf Village",1015,St. Johns-32095,Saint Augustine,101,101,0.0170556464138372,0.671843360805989
62,32096,190,12,Columbia,Columbia-32096,White Springs,White Springs,208,Columbia-32096,,0,0,0.00941162968388198,1.15117956967756
63,32096,191,24,Hamilton,Hamilton-32096,White Springs,White Springs,389,Hamilton-32096,White Springs,16,16,0.0135561631657311,1.01238298777398
64,32096,192,61,Suwannee,Suwannee-32096,White Springs,White Springs,1055,Suwannee-32096,,0,0,0.000749979850297677,0.357435616548569
65,32097,195,45,Nassau,Nassau-32097,Yulee,"Jacksonville, Yulee",687,Nassau-32097,Yulee,116,116,0.030941944537517,1.42136656327507
66,32102,196,35,Lake,Lake-32102,Astor,Astor,509,Lake-32102,Astor,17,17,0.010184503877781,0.689784892041701
67,32102,198,64,Volusia,Volusia-32102,Astor,Astor,1066,Volusia-32102,Astor,<5,-2,0.00160808536747936,0.608318202732341
68,32110,199,18,Flagler,Flagler-32110,Bunnell,"Bunnell, Palm Coast",357,Flagler-32110,Bunnell,62,62,0.0709187684292374,1.56190579411203
69,32112,205,54,Putnam,Putnam-32112,Crescent City,"Crescent City, Pomona Park, Welaka",941,Putnam-32112,Crescent City,199,199,0.0251515478341844,1.5490180106741
70,32113,208,42,Marion,Marion-32113,Citra,McIntosh,630,Marion-32113,Citra,28,28,0.0158434206482525,1.25043971052008
71,32114,210,64,Volusia,Volusia-32114,Daytona Beach,"Daytona Beach, South Daytona, Holly Hill",1067,Volusia-32114,Daytona Beach,278,278,0.00415043669136139,0.277777703338223
72,32117,211,64,Volusia,Volusia-32117,Daytona Beach,"Daytona Beach, Ormond Beach, Holly Hill",1068,Volusia-32117,"Daytona Beach, Holly Hill",385,385,0.0029492541957552,0.277387039444466
73,32118,212,64,Volusia,Volusia-32118,Daytona Beach,"Daytona Beach, Ormond Beach, Port Orange, Daytona Beach Shores",1069,Volusia-32118,"Daytona Beach, Daytona Beach Shores",73,73,0.00149302965337483,0.329823787046511
74,32119,213,64,Volusia,Volusia-32119,Daytona Beach,"Daytona Beach, South Daytona, Port Orange",1070,Volusia-32119,"Daytona Beach, South Daytona, South Daytona Beach",108,108,0.00221573390717822,0.336805571675477
75,32124,214,64,Volusia,Volusia-32124,Daytona Beach,Daytona Beach,1071,Volusia-32124,Daytona Beach,179,179,0.019289016330049,0.932262448744816
76,32127,215,64,Volusia,Volusia-32127,Port Orange,"Ponce Inlet, South Daytona, Port Orange, Daytona Beach Shores",1072,Volusia-32127,"Ponce Inlet, Port Orange",94,94,0.00442315022110051,0.364132574080553
77,32128,216,64,Volusia,Volusia-32128,Port Orange,"Daytona Beach, Port Orange, New Smyrna Beach, Glencoe, Samsula-Spruce Creek",1073,Volusia-32128,Port Orange,93,93,0.00446953752157242,0.392208055318636
78,32129,217,64,Volusia,Volusia-32129,Port Orange,"Daytona Beach, South Daytona, Port Orange",1074,Volusia-32129,Port Orange,87,87,0.00170330926289353,0.257442173021608
79,32130,218,64,Volusia,Volusia-32130,De Leon Springs,"Bunnell, De Leon Springs",1075,Volusia-32130,De Leon Springs,62,62,0.0118044547184581,0.682552249339719
80,32131,220,54,Putnam,Putnam-32131,East Palatka,"Palatka, East Palatka",942,Putnam-32131,East Palatka,44,44,0.0110930038965762,0.585676231368313
81,32131,221,55,St. Johns,St. Johns-32131,East Palatka,Flagler Estates,1016,St. Johns-32131,,0,0,0.000600521066417059,0.283251051534228
82,32132,222,64,Volusia,Volusia-32132,Edgewater,"Edgewater, New Smyrna Beach, Glencoe",1076,Volusia-32132,Edgewater,22,22,0.00198086433556455,0.302885137230884
83,32134,224,42,Marion,Marion-32134,Fort Mc Coy,Fort Mc Coy,631,Marion-32134,Fort Mccoy,<5,-2,0.0871854728361541,1.77841982445362
84,32134,225,54,Putnam,Putnam-32134,Fort Mc Coy,Fort Mc Coy,943,Putnam-32134,,0,0,0.00131159648867651,0.595998464722741
85,32136,227,18,Flagler,Flagler-32136,Flagler Beach,"Flagler Beach, Beverly Beach, Palm Coast",358,Flagler-32136,"Beverly Beach, Flagler Beach",49,49,0.00426029100981395,0.398469226422503
86,32136,228,64,Volusia,Volusia-32136,Flagler Beach,Flagler Beach,1077,Volusia-32136,,0,0,0.000938699704647661,0.220272356514651
87,32137,229,18,Flagler,Flagler-32137,Palm Coast,"Flagler Beach, Bunnell, Marineland, Palm Coast",359,Flagler-32137,Palm Coast,169,169,0.0282199272792241,1.08885026620274
88,32139,231,54,Putnam,Putnam-32139,Georgetown,Georgetown,944,Putnam-32139,Georgetown,6,6,0.00615378087763929,0.522931533586777
89,32140,234,54,Putnam,Putnam-32140,Florahome,Florahome,945,Putnam-32140,Florahome,7,7,0.00853706739167137,0.455255659804713
90,32141,236,64,Volusia,Volusia-32141,Edgewater,"Edgewater, Oak Hill",1078,Volusia-32141,Edgewater,68,68,0.0138955369325231,1.06490161531809
91,32145,239,55,St. Johns,St. Johns-32145,Hastings,"Hastings, Palm Coast, Flagler Estates",1017,St. Johns-32145,Hastings,34,34,0.0218250496723158,0.826439081288677
92,32148,241,54,Putnam,Putnam-32148,Interlachen,Interlachen,946,Putnam-32148,Interlachen,36,36,0.0337640168731923,1.14999440732162
93,32159,242,35,Lake,Lake-32159,Lady Lake,"Fruitland Park, Lady Lake, The Villages",510,Lake-32159,"Lady Lake, The Villages",99,99,0.00708423662581481,0.480972983299014
94,32159,244,60,Sumter,Sumter-32159,Lady Lake,The Villages,1038,Sumter-32159,"Lady Lake, The Villages",5,5,0.000964211054679254,0.231914232516608
95,32162,246,42,Marion,Marion-32162,The Villages,The Villages,632,Marion-32162,The Villages,8,8,0.000866628387939272,0.180285675798311
96,32162,247,60,Sumter,Sumter-32162,The Villages,"Wildwood, The Villages",1039,Sumter-32162,"Lady Lake, The Villages",177,177,0.00501109842844016,0.55403054265467
97,32163,248,35,Lake,Lake-32163,The Villages,"Fruitland Park, The Villages",511,Lake-32163,The Villages,<5,-2,0.000352804675003426,0.0837472796207003
98,32163,249,60,Sumter,Sumter-32163,The Villages,"Wildwood, The Villages",1040,Sumter-32163,The Villages,88,88,0.00220852777420077,0.294314996435132
99,32164,250,18,Flagler,Flagler-32164,Palm Coast,"Bunnell, Palm Coast",360,Flagler-32164,Palm Coast,240,240,0.00825115507950613,0.521036899058139
100,32168,251,64,Volusia,Volusia-32168,New Smyrna Beach,"Edgewater, Ponce Inlet, Port Orange, New Smyrna Beach, Glencoe, Samsula-Spruce Creek",1079,Volusia-32168,New Smyrna Beach,128,128,0.0323201706539749,1.42835715528711
101,32169,252,64,Volusia,Volusia-32169,New Smyrna Beach,"Oak Hill, New Smyrna Beach",1080,Volusia-32169,"New Smyrna, New Smyrna Beach",53,53,0.00435924654857445,0.876116132412061
102,32174,253,18,Flagler,Flagler-32174,Ormond Beach,"Bunnell, Ormond Beach",361,Flagler-32174,,0,0,0.0103238841315942,0.560506386886197
103,32174,254,64,Volusia,Volusia-32174,Ormond Beach,"Bunnell, Daytona Beach, Ormond Beach, Holly Hill",1081,Volusia-32174,Ormond Beach,297,297,0.0221596396647783,1.08297800472324
104,32176,255,64,Volusia,Volusia-32176,Ormond Beach,"Flagler Beach, Ormond Beach, Ormond-by-the-Sea",1082,Volusia-32176,Ormond Beach,54,54,0.0014269578944095,0.335759024706581
105,32177,258,54,Putnam,Putnam-32177,Palatka,"Welaka, Palatka, East Palatka",947,Putnam-32177,Palatka,424,424,0.0612536089795412,1.88112001719234
106,32179,260,42,Marion,Marion-32179,Ocklawaha,Ocklawaha,633,Marion-32179,"Ocklawaha, Oklawaha",19,19,0.0218438789324864,1.15482545546487
107,32180,264,64,Volusia,Volusia-32180,Pierson,"Pierson, Astor, Seville",1083,Volusia-32180,Pierson,81,81,0.0382779711983403,1.32409200841806
108,32181,265,54,Putnam,Putnam-32181,Pomona Park,"Pomona Park, Welaka",948,Putnam-32181,Pomona Park,30,30,0.00785734982332542,0.514256049398975
109,32187,267,54,Putnam,Putnam-32187,San Mateo,Bunnell,949,Putnam-32187,San Mateo,12,12,0.00557580185545703,0.539637815122298
110,32189,268,54,Putnam,Putnam-32189,Satsuma,Satsuma,950,Putnam-32189,Satsuma,28,28,0.00790031631322563,0.698073974178684
111,32190,272,64,Volusia,Volusia-32190,Seville,Seville,1084,Volusia-32190,Seville,37,37,0.0134763576043042,0.776903550936925
112,32193,273,54,Putnam,Putnam-32193,Welaka,Welaka,951,Putnam-32193,Welaka,7,7,0.000509751916524692,0.13386383221297
113,32195,274,35,Lake,Lake-32195,Weirsdale,Lady Lake,512,Lake-32195,,0,0,0.000810522897836563,0.26655149485993
114,32195,275,42,Marion,Marion-32195,Weirsdale,Lady Lake,634,Marion-32195,Weirsdale,11,11,0.00469164513515352,0.41984129194494
115,32202,276,16,Duval,Duval-32202,Jacksonville,Jacksonville,301,Duval-32202,Jacksonville,559,559,0.000706362977552999,0.176958845106058
116,32204,277,16,Duval,Duval-32204,Jacksonville,Jacksonville,302,Duval-32204,Jacksonville,195,195,0.00109377361877705,0.174183337041949
117,32205,278,16,Duval,Duval-32205,Jacksonville,Jacksonville,303,Duval-32205,Jacksonville,251,251,0.0018326920387608,0.240488602065611
118,32206,279,16,Duval,Duval-32206,Jacksonville,Jacksonville,304,Duval-32206,Jacksonville,257,257,0.00190592309991189,0.222134052455003
119,32207,280,16,Duval,Duval-32207,Jacksonville,Jacksonville,305,Duval-32207,Jacksonville,526,526,0.00396989879322973,0.275403169908456
120,32208,281,16,Duval,Duval-32208,Jacksonville,Jacksonville,306,Duval-32208,Jacksonville,1176,1176,0.0031549160803479,0.309669765561439
121,32209,282,16,Duval,Duval-32209,Jacksonville,Jacksonville,307,Duval-32209,Jacksonville,609,609,0.00237578263477189,0.292576486435639
122,32210,283,16,Duval,Duval-32210,Jacksonville,Jacksonville,308,Duval-32210,Jacksonville,866,866,0.00669372118613865,0.552905963691197
123,32211,284,16,Duval,Duval-32211,Jacksonville,Jacksonville,309,Duval-32211,Jacksonville,403,403,0.00223142546383315,0.24611121820293
124,32212,286,16,Duval,Duval-32212,Jacksonville,Jacksonville,310,Duval-32212,"Jacksonville, Jacksonville Naval Air Station",249,249,0.00186811218190996,0.278747279096189
125,32214,287,16,Duval,Duval-32214,Jacksonville,Jacksonville,311,Duval-32214,"Jacksonville, Jacksonville Naval Hospital",11,11,0.000207914897146111,0.0809388498228428
126,32216,288,16,Duval,Duval-32216,Jacksonville,Jacksonville,312,Duval-32216,Jacksonville,705,705,0.00314913277543383,0.254043573372157
127,32217,289,16,Duval,Duval-32217,Jacksonville,Jacksonville,313,Duval-32217,Jacksonville,317,317,0.00220568589611503,0.210149445896401
128,32218,290,16,Duval,Duval-32218,Jacksonville,"Jacksonville, Nassau Village-Ratliff",314,Duval-32218,Jacksonville,837,837,0.0243410663078976,0.936732437329408
129,32219,292,16,Duval,Duval-32219,Jacksonville,"Jacksonville, Nassau Village-Ratliff",315,Duval-32219,"Dinsmore, Jacksonville",218,218,0.0160612657612091,0.764280793045888
130,32220,294,16,Duval,Duval-32220,Jacksonville,"Baldwin, Jacksonville",316,Duval-32220,Jacksonville,83,83,0.0112935471079254,0.704655599331032
131,32221,297,16,Duval,Duval-32221,Jacksonville,Jacksonville,317,Duval-32221,Jacksonville,307,307,0.0111252579868051,0.649720670489786
132,32222,299,16,Duval,Duval-32222,Jacksonville,Jacksonville,318,Duval-32222,Jacksonville,134,134,0.0029139591645162,0.270165067983311
133,32223,301,16,Duval,Duval-32223,Jacksonville,"Orange Park, Jacksonville, Fleming Island",319,Duval-32223,Jacksonville,191,191,0.00508969909151347,0.290462639836573
134,32224,303,16,Duval,Duval-32224,Jacksonville,"Neptune Beach, Jacksonville",320,Duval-32224,Jacksonville,460,460,0.00410856280632288,0.459189205548163
135,32225,305,16,Duval,Duval-32225,Jacksonville,"Atlantic Beach, Jacksonville",321,Duval-32225,Jacksonville,628,628,0.0075229609476537,0.401444406143724
136,32226,306,16,Duval,Duval-32226,Jacksonville,Jacksonville,322,Duval-32226,Jacksonville,172,172,0.0264504959823171,1.14720181022818
137,32227,308,16,Duval,Duval-32227,Jacksonville,Jacksonville,323,Duval-32227,"Jacksonville, Mayport, Mayport Naval Housing",24,24,0.000676418869716144,0.143395003773898
138,32233,309,16,Duval,Duval-32233,Atlantic Beach,"Atlantic Beach, Neptune Beach, Jacksonville",324,Duval-32233,"Atlantic Beach, Jacksonville, Mayport",279,279,0.00277355499997611,0.296555082083947
139,32234,310,2,Baker,Baker-32234,Jacksonville,Jacksonville,26,Baker-32234,,0,0,0.00103230954800893,0.29689394090268
140,32234,312,10,Clay,Clay-32234,Jacksonville,Jacksonville,178,Clay-32234,,0,0,0.0109892540428973,0.71931463357575
141,32234,313,16,Duval,Duval-32234,Jacksonville,"Baldwin, Jacksonville",325,Duval-32234,"Baldwin, Jacksonville, Maxville",38,38,0.0169606152330744,0.776870283644384
142,32234,314,45,Nassau,Nassau-32234,Jacksonville,Jacksonville,688,Nassau-32234,,0,0,0.00191118811358137,0.328528089877861
143,32244,316,16,Duval,Duval-32244,Jacksonville,Jacksonville,326,Duval-32244,Jacksonville,658,658,0.0061280400218493,0.45452371384434
144,32246,317,16,Duval,Duval-32246,Jacksonville,Jacksonville,327,Duval-32246,Jacksonville,738,738,0.00471407771328813,0.348804867513377
145,32250,318,16,Duval,Duval-32250,Jacksonville Beach,"Jacksonville Beach, Neptune Beach, Jacksonville",328,Duval-32250,"Jacksonville, Jacksonville Beach",520,520,0.00260226621708171,0.307241450580588
146,32254,320,16,Duval,Duval-32254,Jacksonville,Jacksonville,329,Duval-32254,Jacksonville,228,228,0.0029398269707599,0.283942418523509
147,32256,321,16,Duval,Duval-32256,Jacksonville,Jacksonville,330,Duval-32256,Jacksonville,652,652,0.0157753996654719,0.555023345342521
148,32257,323,16,Duval,Duval-32257,Jacksonville,Jacksonville,331,Duval-32257,Jacksonville,363,363,0.00406706890839814,0.294807640794118
149,32258,324,16,Duval,Duval-32258,Jacksonville,"Jacksonville, Fruit Cove",332,Duval-32258,Jacksonville,315,315,0.00451027732719922,0.364906020411409
150,32259,328,55,St. Johns,St. Johns-32259,Saint Johns,"Jacksonville, Fleming Island, Fruit Cove, Nocatee",1018,St. Johns-32259,"Fruit Cove, Jacksonville, Saint Johns, Switzerland",379,379,0.0158874331630159,0.658227719699288
151,32266,329,16,Duval,Duval-32266,Neptune Beach,"Atlantic Beach, Jacksonville Beach, Neptune Beach",333,Duval-32266,"Jacksonville, Jacksonville Beach, Neptune Beach",120,120,0.00063812953908382,0.116681877465741
152,32277,330,16,Duval,Duval-32277,Jacksonville,Jacksonville,334,Duval-32277,Jacksonville,351,351,0.00283296516090559,0.293175547755934
153,32301,331,37,Leon,Leon-32301,Tallahassee,Tallahassee,575,Leon-32301,Tallahassee,231,231,0.00273052985085087,0.344330784836504
154,32303,333,37,Leon,Leon-32303,Tallahassee,"Midway, Tallahassee",576,Leon-32303,Tallahassee,381,381,0.00976420068923289,0.740267176824401
155,32304,335,37,Leon,Leon-32304,Tallahassee,"Midway, Tallahassee",577,Leon-32304,Tallahassee,681,681,0.0038027848886486,0.485116148654965
156,32305,336,37,Leon,Leon-32305,Tallahassee,"Tallahassee, Woodville",578,Leon-32305,Tallahassee,134,134,0.0226085790791331,1.06403092990177
157,32306,338,37,Leon,Leon-32306,Tallahassee,"Florida State University, Florida A&M University",579,Leon-32306,"Florida State University, Tallahassee",19,19,6.31593493380933e-05,0.0406223556396508
158,32308,340,37,Leon,Leon-32308,Tallahassee,Tallahassee,580,Leon-32308,"Centerville, Tallahassee",199,199,0.00348464076319033,0.328219792325457
159,32309,342,33,Jefferson,Jefferson-32309,Tallahassee,Tallahassee,502,Jefferson-32309,,0,0,0.000286307463056801,0.480621648032563
160,32309,343,37,Leon,Leon-32309,Tallahassee,Tallahassee,581,Leon-32309,"Centerville, Miccosukee, Tallahassee",163,163,0.0312610680975922,1.00827159966495
161,32310,345,37,Leon,Leon-32310,Tallahassee,Tallahassee,582,Leon-32310,Tallahassee,145,145,0.0412323027037473,1.3181874509923
162,32311,349,37,Leon,Leon-32311,Tallahassee,Tallahassee,583,Leon-32311,Tallahassee,150,150,0.0189630718177796,0.952148325995283
163,32312,353,37,Leon,Leon-32312,Tallahassee,Tallahassee,584,Leon-32312,Tallahassee,215,215,0.0258903213273243,1.16766908569859
164,32317,355,37,Leon,Leon-32317,Tallahassee,Tallahassee,585,Leon-32317,"Centerville, Tallahassee",94,94,0.010531738057125,0.537464384210784
165,32320,356,19,Franklin,Franklin-32320,Apalachicola,Apalachicola,362,Franklin-32320,Apalachicola,17,17,0.016372721365542,1.32697157729419
166,32321,361,39,Liberty,Liberty-32321,Bristol,"Bristol, Lake Mystic, Sumatra",600,Liberty-32321,Bristol,257,257,0.0890130915120153,2.31760145366116
167,32322,362,19,Franklin,Franklin-32322,Carrabelle,Carrabelle,363,Franklin-32322,Carrabelle,11,11,0.0404245581685245,1.58171534364911
168,32324,366,20,Gadsden,Gadsden-32324,Chattahoochee,"Gretna, Chattahoochee",369,Gadsden-32324,Chattahoochee,34,34,0.0161284857001647,0.748085697564086
169,32327,369,37,Leon,Leon-32327,Crawfordville,Woodville,586,Leon-32327,,0,0,0.000286459848211962,0.472276106007513
170,32327,370,65,Wakulla,Wakulla-32327,Crawfordville,"St. Marks, Crawfordville, Woodville",1096,Wakulla-32327,"Crawfordville, Wakulla Springs",145,145,0.0856386303735235,3.47147676205958
171,32328,371,19,Franklin,Franklin-32328,Eastpoint,"Eastpoint, St. George Island",365,Franklin-32328,Eastpoint,14,14,0.0653021259297475,3.98605701970817
172,32331,376,33,Jefferson,Jefferson-32331,Greenville,Greenville,503,Jefferson-32331,,0,0,0.0130823857621181,0.714787405532449
173,32331,377,40,Madison,Madison-32331,Greenville,Greenville,604,Madison-32331,Greenville,32,32,0.0634521070869596,1.88577426577144
