,sp_id,sp_gq_id,age,sex
122,936835521,450004088,19,F
123,936835520,450004088,20,F
124,936835519,450004088,18,F
125,936835518,450004088,18,F
126,936835517,450004088,18,F
127,936835516,450004088,19,F
128,936835515,450004088,18,F
129,936835514,450004088,21,F
130,936835513,450004088,18,F
131,936835512,450004088,19,F
132,936835511,450004088,19,F
133,936835510,450004088,20,F
134,936835509,450004088,19,F
135,936835508,450004088,21,F
136,936835507,450004088,19,F
137,936835506,450004088,22,F
138,936835505,450004088,21,F
139,936835504,450004088,19,F
140,936835503,450004088,18,F
141,936835502,450004088,19,F
142,936835322,450004088,22,F
143,936835321,450004088,22,F
144,936835320,450004088,19,F
145,936835319,450004088,19,F
146,936835318,450004088,23,F
147,936835317,450004088,24,F
148,936835316,450004088,22,F
149,936835315,450004088,20,F
150,936835314,450004088,21,F
151,936835313,450004088,18,F
152,936835312,450004088,18,F
153,936835170,450004088,22,M
154,936835171,450004088,19,M
155,936835172,450004088,18,M
156,936835173,450004088,17,F
157,936835174,450004088,17,F
158,936835175,450004088,17,F
159,936835176,450004088,17,F
160,936835177,450004088,17,F
161,936835468,450004088,22,F
162,936835467,450004088,19,F
163,936835466,450004088,21,F
164,936835465,450004088,18,F
165,936835464,450004088,20,F
166,936835463,450004088,19,F
167,936835462,450004088,23,F
168,936835461,450004088,19,F
169,936835460,450004088,18,F
170,936835459,450004088,24,F
171,936835458,450004088,51,F
172,936835457,450004088,19,F
173,936835456,450004088,22,F
174,936835455,450004088,19,F
175,936835454,450004088,19,F
176,936835453,450004088,29,F
177,936835452,450004088,19,F
178,936835451,450004088,19,F
179,936835450,450004088,19,F
180,936835449,450004088,18,F
181,936835448,450004088,18,F
182,936835447,450004088,20,F
183,936835446,450004088,18,F
184,936835445,450004088,21,F
185,936835444,450004088,24,F
186,936835443,450004088,32,F
187,936835442,450004088,18,F
188,936835441,450004088,20,F
189,936835440,450004088,20,F
190,936835439,450004088,19,F
191,936835438,450004088,19,F
192,936835437,450004088,19,F
193,936835436,450004088,18,F
194,936835435,450004088,18,F
195,936835434,450004088,24,F
196,936835433,450004088,19,F
197,936835432,450004088,23,F
198,936835431,450004088,19,F
199,936835430,450004088,19,F
200,936835429,450004088,19,F
201,936835844,450004088,18,F
202,936835843,450004088,24,F
203,936835842,450004088,20,F
204,936835841,450004088,19,F
205,936835840,450004088,19,F
206,936835839,450004088,19,F
207,936835838,450004088,22,F
208,936835837,450004088,23,F
209,936835836,450004088,19,F
210,936835835,450004088,18,F
211,936835834,450004088,21,F
212,936835833,450004088,21,F
213,936835832,450004088,18,F
214,936835831,450004088,19,F
215,936835830,450004088,23,F
216,936835829,450004088,20,F
217,936835828,450004088,18,F
218,936835827,450004088,23,F
219,936835826,450004088,24,F
220,936835825,450004088,21,F
221,936835824,450004088,23,F
222,936835823,450004088,22,F
223,936835822,450004088,19,F
224,936835821,450004088,18,F
225,936835820,450004088,23,F
226,936835819,450004088,18,F
227,936835818,450004088,19,F
228,936835817,450004088,19,F
229,936835816,450004088,19,F
230,936835815,450004088,23,F
231,936835814,450004088,19,F
232,936835813,450004088,18,F
233,936835812,450004088,23,F
234,936835811,450004088,18,F
235,936835810,450004088,19,F
236,936835809,450004088,19,F
237,936835808,450004088,18,F
238,936835428,450004088,24,F
239,936835427,450004088,19,F
240,936835426,450004088,24,F
241,936835425,450004088,27,F
242,936835424,450004088,19,F
243,936835423,450004088,19,F
244,936835422,450004088,23,F
245,936835178,450004088,17,F
246,936835179,450004088,17,F
247,936835180,450004088,17,F
248,936835181,450004088,19,F
249,936835182,450004088,19,F
250,936835183,450004088,21,F
251,936835184,450004088,20,F
252,936835421,450004088,18,F
253,936835420,450004088,20,F
254,936835419,450004088,19,F
255,936835418,450004088,19,F
256,936835417,450004088,19,F
257,936835416,450004088,21,F
258,936835415,450004088,19,F
259,936835414,450004088,21,F
260,936835413,450004088,19,F
261,936835412,450004088,21,F
262,936835411,450004088,18,F
263,936835185,450004088,19,F
264,936835186,450004088,20,F
265,936835187,450004088,18,F
266,936835188,450004088,23,F
267,936835189,450004088,18,F
268,936835190,450004088,20,F
269,936835191,450004088,19,F
270,936835192,450004088,19,F
271,936835193,450004088,19,F
272,936835194,450004088,18,F
273,936835195,450004088,19,F
274,936835196,450004088,19,F
275,936835197,450004088,23,F
276,936835198,450004088,18,F
277,936835199,450004088,19,F
278,936835200,450004088,21,F
279,936835311,450004088,19,F
280,936835310,450004088,19,F
281,936835309,450004088,20,F
282,936835308,450004088,19,F
283,936835307,450004088,21,F
284,936835306,450004088,23,F
285,936835305,450004088,18,F
286,936835304,450004088,18,F
287,936835303,450004088,18,F
288,936835302,450004088,18,F
289,936835301,450004088,20,F
290,936835300,450004088,22,F
291,936835410,450004088,19,F
292,936835409,450004088,24,F
293,936835299,450004088,19,F
294,936835298,450004088,18,F
295,936835297,450004088,19,F
296,936835296,450004088,21,F
297,936835295,450004088,19,F
298,936835294,450004088,28,F
299,936835293,450004088,18,F
300,936835292,450004088,18,F
301,936835291,450004088,18,F
302,936835290,450004088,18,F
303,936835289,450004088,19,F
304,936835288,450004088,21,F
305,936835287,450004088,22,F
306,936835501,450004088,19,F
307,936835286,450004088,22,F
308,936835285,450004088,24,F
309,936835284,450004088,19,F
310,936835404,450004088,19,F
311,936835405,450004088,19,F
312,936835406,450004088,19,F
313,936835407,450004088,19,F
314,936835408,450004088,19,F
315,936835283,450004088,23,F
316,936835282,450004088,18,F
317,936835281,450004088,21,F
318,936835280,450004088,19,F
319,936835279,450004088,21,F
320,936835278,450004088,23,F
321,936835277,450004088,22,F
322,936835276,450004088,24,F
323,936835275,450004088,21,F
324,936835274,450004088,21,F
325,936835629,450004088,19,F
326,936835630,450004088,18,F
327,936835631,450004088,24,F
328,936835632,450004088,24,F
329,936835273,450004088,19,F
330,936835272,450004088,18,F
331,936835271,450004088,20,F
332,936835270,450004088,19,F
333,936835269,450004088,19,F
334,936835268,450004088,19,F
335,936835267,450004088,19,F
336,936835266,450004088,24,F
337,936835265,450004088,19,F
338,936835264,450004088,19,F
339,936835263,450004088,20,F
340,936835262,450004088,21,F
341,936835261,450004088,19,F
342,936835260,450004088,18,F
343,936835259,450004088,19,F
344,936835258,450004088,19,F
345,936835257,450004088,22,F
346,936835256,450004088,19,F
347,936835255,450004088,19,F
348,936835500,450004088,19,F
349,936835499,450004088,18,F
350,936835498,450004088,21,F
351,936835497,450004088,21,F
352,936835496,450004088,19,F
353,936835495,450004088,18,F
354,936835254,450004088,19,F
355,936835253,450004088,19,F
356,936835252,450004088,18,F
357,936835251,450004088,22,F
358,936835250,450004088,19,F
359,936835633,450004088,24,F
360,936835634,450004088,20,F
361,936835635,450004088,20,F
362,936835636,450004088,41,F
363,936835403,450004088,20,F
364,936835402,450004088,23,F
365,936835401,450004088,18,F
366,936835400,450004088,23,F
367,936835399,450004088,19,F
368,936835398,450004088,24,F
369,936835397,450004088,19,F
370,936835396,450004088,18,F
371,936835395,450004088,20,F
372,936835394,450004088,18,F
373,936835637,450004088,21,F
374,936835638,450004088,19,F
375,936835639,450004088,18,F
376,936835640,450004088,22,F
377,936835641,450004088,19,F
378,936835642,450004088,18,F
379,936835643,450004088,25,F
380,936835644,450004088,19,F
381,936835645,450004088,21,F
382,936835646,450004088,19,F
383,936835772,450004088,18,F
384,936835773,450004088,19,F
385,936835249,450004088,24,F
386,936835248,450004088,20,F
387,936835247,450004088,19,F
388,936835246,450004088,23,F
389,936835393,450004088,23,F
390,936835392,450004088,18,F
391,936835245,450004088,19,F
392,936835244,450004088,19,F
393,936835243,450004088,20,F
394,936835242,450004088,19,F
395,936835241,450004088,18,F
396,936835240,450004088,23,F
397,936835239,450004088,19,F
398,936835238,450004088,20,F
399,936835237,450004088,20,F
400,936835869,450004088,20,F
401,936835870,450004088,24,F
402,936835871,450004088,22,F
403,936835872,450004088,22,F
404,936835873,450004088,19,F
405,936835874,450004088,19,F
406,936835875,450004088,21,F
407,936835647,450004088,18,F
408,936835374,450004088,19,F
409,936835375,450004088,21,F
410,936835774,450004088,20,F
411,936835376,450004088,24,F
412,936835377,450004088,23,F
413,936835378,450004088,18,F
414,936835379,450004088,19,F
415,936835380,450004088,19,F
416,936835381,450004088,25,F
417,936835382,450004088,21,F
418,936835383,450004088,19,F
419,936835384,450004088,20,F
420,936835385,450004088,21,F
421,936835386,450004088,23,F
422,936835876,450004088,19,F
423,936835877,450004088,21,F
424,936835878,450004088,19,F
425,936835879,450004088,21,F
426,936835880,450004088,18,F
427,936835881,450004088,20,F
428,936835594,450004088,21,F
429,936835593,450004088,20,F
430,936835592,450004088,19,F
431,936835591,450004088,18,F
432,936835590,450004088,23,F
433,936835584,450004088,18,F
434,936835583,450004088,19,F
435,936835582,450004088,19,F
436,936835587,450004088,20,F
437,936835775,450004088,20,F
438,936835776,450004088,24,F
439,936835777,450004088,19,F
440,936835778,450004088,19,F
441,936835779,450004088,19,F
442,936835780,450004088,18,F
443,936835781,450004088,19,F
444,936835782,450004088,19,F
445,936835783,450004088,19,F
446,936835784,450004088,18,F
447,936835785,450004088,19,F
448,936835786,450004088,21,F
449,936835787,450004088,19,F
450,936835788,450004088,24,F
451,936835789,450004088,20,F
452,936835387,450004088,19,F
453,936835388,450004088,19,F
454,936835389,450004088,19,F
455,936835390,450004088,18,F
456,936835391,450004088,19,F
457,936835882,450004088,18,F
458,936835883,450004088,19,F
459,936835884,450004088,22,F
460,936835885,450004088,22,F
461,936835886,450004088,22,F
462,936835887,450004088,19,F
463,936835888,450004088,19,F
464,936835889,450004088,19,F
465,936835890,450004088,18,F
466,936835891,450004088,19,F
467,936835892,450004088,20,F
468,936835893,450004088,19,F
469,936835894,450004088,18,F
470,936835895,450004088,21,F
471,936835896,450004088,21,F
472,936835897,450004088,20,F
473,936835898,450004088,19,F
474,936835899,450004088,18,F
475,936835900,450004088,20,F
476,936835901,450004088,19,F
477,936835902,450004088,19,F
478,936835903,450004088,19,F
479,936835904,450004088,22,F
480,936835905,450004088,24,F
481,936835648,450004088,20,F
482,936835649,450004088,18,F
483,936835650,450004088,20,F
484,936835651,450004088,19,F
485,936835652,450004088,21,F
486,936835790,450004088,23,F
487,936835653,450004088,22,F
488,936835654,450004088,23,F
489,936835655,450004088,18,F
490,936835656,450004088,21,F
491,936835770,450004088,19,F
492,936835769,450004088,19,F
493,936835768,450004088,22,F
494,936835767,450004088,21,F
495,936835581,450004088,21,F
496,936835575,450004088,21,F
497,936835574,450004088,20,F
498,936835573,450004088,19,F
499,936835572,450004088,23,F
500,936835571,450004088,19,F
501,936835570,450004088,18,F
502,936835543,450004088,19,F
503,936835544,450004088,18,F
504,936835545,450004088,18,F
505,936835546,450004088,19,F
506,936835547,450004088,18,F
507,936835548,450004088,19,F
508,936835569,450004088,19,F
509,936835657,450004088,18,F
510,936835658,450004088,23,F
511,936835659,450004088,19,F
512,936835660,450004088,23,F
513,936835661,450004088,18,F
514,936835662,450004088,18,F
515,936835663,450004088,23,F
516,936835664,450004088,21,F
517,936835665,450004088,18,F
518,936835666,450004088,23,F
519,936835667,450004088,22,F
520,936835668,450004088,18,F
521,936835669,450004088,23,F
522,936835670,450004088,18,F
523,936835671,450004088,19,F
524,936835672,450004088,19,F
525,936835673,450004088,19,F
526,936835674,450004088,18,F
527,936835675,450004088,29,F
528,936835676,450004088,23,F
529,936835677,450004088,19,F
530,936835678,450004088,24,F
531,936835568,450004088,19,F
532,936835766,450004088,19,F
533,936835201,450004088,19,F
534,936835202,450004088,19,F
535,936835203,450004088,20,F
536,936835204,450004088,20,F
537,936835205,450004088,22,F
538,936835206,450004088,19,F
539,936835207,450004088,19,F
540,936835208,450004088,19,F
541,936835209,450004088,23,F
542,936835210,450004088,21,F
543,936835211,450004088,19,F
544,936835549,450004088,19,F
545,936835550,450004088,19,F
546,936835906,450004088,18,F
547,936835551,450004088,21,F
548,936835552,450004088,19,F
549,936835907,450004088,24,F
550,936835908,450004088,19,F
551,936835553,450004088,18,F
552,936835909,450004088,23,F
553,936835554,450004088,19,F
554,936835555,450004088,19,F
555,936835556,450004088,19,F
556,936835557,450004088,24,F
557,936835558,450004088,18,F
558,936835559,450004088,18,F
559,936835560,450004088,24,F
560,936835561,450004088,26,F
561,936835910,450004088,34,F
562,936835911,450004088,18,F
563,936835912,450004088,18,F
564,936835913,450004088,19,F
565,936835914,450004088,19,F
566,936835915,450004088,19,F
567,936835916,450004088,28,F
568,936835917,450004088,22,F
569,936835918,450004088,18,F
570,936835562,450004088,23,F
571,936835563,450004088,21,F
572,936835564,450004088,19,F
573,936835565,450004088,19,F
574,936835566,450004088,24,F
575,936835567,450004088,19,F
576,936835679,450004088,23,F
577,936835680,450004088,19,F
578,936835681,450004088,19,F
579,936835682,450004088,19,F
580,936835683,450004088,20,F
581,936835684,450004088,19,F
582,936835685,450004088,19,F
583,936835686,450004088,36,F
584,936835687,450004088,23,F
585,936835688,450004088,19,F
586,936835689,450004088,18,F
587,936835919,450004088,23,F
588,936835920,450004088,21,F
589,936835921,450004088,18,F
590,936835922,450004088,22,F
591,936835923,450004088,19,F
592,936835924,450004088,23,F
593,936835925,450004088,19,F
594,936835926,450004088,19,F
595,936835927,450004088,23,F
596,936835928,450004088,23,F
597,936835929,450004088,20,F
598,936835930,450004088,22,F
599,936835931,450004088,21,F
600,936835932,450004088,21,F
601,936835733,450004088,22,F
602,936835494,450004088,18,F
603,936835493,450004088,20,F
604,936835492,450004088,18,F
605,936835491,450004088,18,F
606,936835490,450004088,20,F
607,936835807,450004088,18,F
608,936835806,450004088,19,F
609,936835805,450004088,20,F
610,936835804,450004088,22,F
611,936835803,450004088,21,F
612,936835802,450004088,28,F
613,936835801,450004088,22,F
614,936835800,450004088,23,F
615,936835799,450004088,23,F
616,936835798,450004088,23,F
617,936835797,450004088,23,F
618,936835796,450004088,22,F
619,936835489,450004088,18,F
620,936835488,450004088,18,F
621,936835487,450004088,23,F
622,936835795,450004088,19,F
623,936835794,450004088,19,F
624,936835793,450004088,20,F
625,936835792,450004088,24,F
626,936835791,450004088,23,F
627,936835734,450004088,19,F
628,936835735,450004088,18,F
629,936835736,450004088,19,F
630,936835737,450004088,20,F
631,936835738,450004088,21,F
632,936835739,450004088,18,F
633,936835740,450004088,19,F
634,936835741,450004088,21,F
635,936835690,450004088,18,F
636,936835691,450004088,19,F
637,936835692,450004088,21,F
638,936835693,450004088,18,F
639,936835694,450004088,20,F
640,936835695,450004088,21,F
641,936835696,450004088,19,F
642,936835697,450004088,18,F
643,936835698,450004088,22,F
644,936835699,450004088,23,F
645,936835700,450004088,22,F
646,936835701,450004088,19,F
647,936835702,450004088,21,F
648,936835703,450004088,18,F
649,936835704,450004088,18,F
650,936835705,450004088,23,F
651,936835212,450004088,21,F
652,936835213,450004088,21,F
653,936835214,450004088,18,F
654,936835215,450004088,18,F
655,936835216,450004088,23,F
656,936835217,450004088,32,F
657,936835218,450004088,19,F
658,936835219,450004088,24,F
659,936835220,450004088,21,F
660,936835221,450004088,22,F
661,936835222,450004088,23,F
662,936835223,450004088,20,F
663,936835224,450004088,21,F
664,936835225,450004088,19,F
665,936835226,450004088,20,F
666,936835227,450004088,19,F
667,936835580,450004088,18,F
668,936835537,450004088,21,F
669,936835228,450004088,21,F
670,936835229,450004088,34,F
671,936835230,450004088,20,F
672,936835231,450004088,19,F
673,936835232,450004088,19,F
674,936835233,450004088,21,F
675,936835234,450004088,19,F
676,936835579,450004088,19,F
677,936835578,450004088,19,F
678,936835577,450004088,28,F
679,936835576,450004088,20,F
680,936835585,450004088,19,F
681,936835538,450004088,18,F
682,936835539,450004088,19,F
683,936835540,450004088,19,F
684,936835541,450004088,24,F
685,936835542,450004088,18,F
686,936835589,450004088,22,F
687,936835371,450004088,22,F
688,936835370,450004088,21,F
689,936835600,450004088,19,F
690,936835601,450004088,21,F
691,936835602,450004088,19,F
692,936835597,450004088,19,F
693,936835596,450004088,18,F
694,936835595,450004088,19,F
695,936835603,450004088,21,F
696,936835372,450004088,18,F
697,936835373,450004088,20,F
698,936835604,450004088,19,F
699,936835605,450004088,19,F
700,936835486,450004088,21,F
701,936835484,450004088,22,F
702,936835485,450004088,19,F
703,936835483,450004088,18,F
704,936835606,450004088,19,F
705,936835607,450004088,21,F
706,936835608,450004088,21,F
707,936835609,450004088,19,F
708,936835610,450004088,20,F
709,936835235,450004088,21,F
710,936835236,450004088,19,F
711,936835765,450004088,22,F
712,936835764,450004088,22,F
713,936835763,450004088,21,F
714,936835762,450004088,21,F
715,936835761,450004088,19,F
716,936835760,450004088,18,F
717,936835759,450004088,19,F
718,936835366,450004088,19,F
719,936835365,450004088,20,F
720,936835611,450004088,23,F
721,936835612,450004088,23,F
722,936835613,450004088,24,F
723,936835614,450004088,20,F
724,936835615,450004088,19,F
725,936835616,450004088,18,F
726,936835617,450004088,22,F
727,936835598,450004088,24,F
728,936835599,450004088,19,F
729,936835367,450004088,19,F
730,936835368,450004088,19,F
731,936835369,450004088,20,F
732,936835588,450004088,19,F
733,936835771,450004088,22,F
734,936835618,450004088,24,F
735,936835619,450004088,18,F
736,936835620,450004088,20,F
737,936835621,450004088,20,F
738,936835622,450004088,21,F
739,936835623,450004088,20,F
740,936835624,450004088,20,F
741,936835625,450004088,18,F
742,936835626,450004088,24,F
743,936835364,450004088,21,F
744,936835363,450004088,19,F
745,936835362,450004088,19,F
746,936835361,450004088,23,F
747,936835360,450004088,21,F
748,936835359,450004088,18,F
749,936835358,450004088,20,F
750,936835357,450004088,19,F
751,936835356,450004088,21,F
752,936835355,450004088,24,F
753,936835354,450004088,21,F
754,936835353,450004088,42,F
755,936835352,450004088,19,F
756,936835351,450004088,20,F
757,936835350,450004088,24,F
758,936835349,450004088,19,F
759,936835348,450004088,19,F
760,936835347,450004088,23,F
761,936835346,450004088,18,F
762,936835345,450004088,21,F
763,936835344,450004088,23,F
764,936835343,450004088,18,F
765,936835342,450004088,20,F
766,936835341,450004088,22,F
767,936835340,450004088,22,F
768,936843559,450000107,18,F
769,936843557,450000107,25,F
770,936843556,450000107,19,F
771,936843555,450000107,23,F
772,936843554,450000107,18,F
773,936843553,450000107,21,F
774,936843208,450000107,24,M
775,936843207,450000107,20,M
776,936843206,450000107,20,M
777,936843552,450000107,19,F
778,936843551,450000107,19,F
779,936843550,450000107,22,F
780,936843549,450000107,20,F
781,936843548,450000107,22,F
782,936843547,450000107,19,F
783,936843546,450000107,18,F
784,936843545,450000107,20,F
785,936843544,450000107,19,F
786,936843543,450000107,19,F
787,936843542,450000107,21,F
788,936843541,450000107,20,F
789,936843540,450000107,19,F
790,936843539,450000107,18,F
791,936843538,450000107,19,F
792,936843537,450000107,21,F
793,936843536,450000107,24,F
794,936843535,450000107,19,F
795,936843534,450000107,24,F
796,936843533,450000107,21,F
797,936843532,450000107,24,F
798,936843531,450000107,22,F
799,936843530,450000107,27,F
800,936843529,450000107,21,F
801,936843528,450000107,18,F
802,936843527,450000107,19,F
803,936843526,450000107,18,F
804,936843525,450000107,21,F
805,936843524,450000107,20,F
806,936843523,450000107,19,F
807,936843522,450000107,20,F
808,936843521,450000107,18,F
809,936843520,450000107,20,F
810,936843519,450000107,22,F
811,936843518,450000107,23,F
812,936843517,450000107,21,F
813,936843516,450000107,24,F
814,936843515,450000107,21,F
815,936843514,450000107,18,F
816,936843513,450000107,20,F
817,936843512,450000107,20,F
818,936843511,450000107,19,F
819,936843510,450000107,18,F
820,936843509,450000107,19,F
821,936843508,450000107,19,F
822,936843507,450000107,21,F
823,936843506,450000107,21,F
824,936843505,450000107,18,F
825,936843504,450000107,21,F
826,936843503,450000107,19,F
827,936843502,450000107,19,F
828,936843501,450000107,19,F
829,936843500,450000107,19,F
830,936843499,450000107,24,F
831,936843498,450000107,18,F
832,936843497,450000107,27,F
833,936843496,450000107,20,F
834,936843495,450000107,20,F
835,936843494,450000107,22,F
836,936843493,450000107,18,F
837,936843492,450000107,23,F
838,936843491,450000107,19,F
839,936843490,450000107,19,F
840,936843489,450000107,21,F
841,936843488,450000107,20,F
842,936843487,450000107,19,F
843,936843486,450000107,19,F
844,936843485,450000107,18,F
845,936843484,450000107,21,F
846,936843483,450000107,18,F
847,936843482,450000107,19,F
848,936843481,450000107,23,F
849,936843480,450000107,18,F
850,936843479,450000107,23,F
851,936843478,450000107,22,F
852,936843477,450000107,18,F
853,936843476,450000107,20,F
854,936843475,450000107,19,F
855,936843474,450000107,22,F
856,936843473,450000107,23,F
857,936843472,450000107,32,F
858,936843471,450000107,21,F
859,936843470,450000107,18,F
860,936843469,450000107,22,F
861,936843468,450000107,18,F
862,936843467,450000107,18,F
863,936843466,450000107,19,F
864,936843465,450000107,22,F
865,936843464,450000107,19,F
866,936843463,450000107,22,F
867,936843462,450000107,23,F
868,936843461,450000107,23,F
869,936843460,450000107,21,F
870,936843459,450000107,19,F
871,936843458,450000107,18,F
872,936843457,450000107,19,F
873,936843456,450000107,22,F
874,936843223,450000107,24,M
875,936843606,450000107,24,F
876,936843605,450000107,18,F
877,936843604,450000107,32,F
878,936843209,450000107,22,M
879,936843455,450000107,18,F
880,936843205,450000107,18,M
881,936843204,450000107,20,M
882,936843203,450000107,21,M
883,936843202,450000107,20,M
884,936843201,450000107,19,M
885,936843200,450000107,18,M
886,936843199,450000107,19,M
887,936843198,450000107,19,M
888,936843197,450000107,20,M
889,936843196,450000107,19,M
890,936843195,450000107,19,M
891,936843194,450000107,27,M
892,936843193,450000107,19,M
893,936843192,450000107,18,M
894,936843191,450000107,19,M
895,936843190,450000107,22,M
896,936843189,450000107,18,M
897,936843454,450000107,20,F
898,936843453,450000107,19,F
899,936843452,450000107,19,F
900,936843451,450000107,18,F
901,936843450,450000107,23,F
902,936843449,450000107,18,F
903,936843448,450000107,23,F
904,936843447,450000107,19,F
905,936843446,450000107,19,F
906,936843445,450000107,20,F
907,936843444,450000107,18,F
908,936843443,450000107,19,F
909,936843442,450000107,20,F
910,936843441,450000107,20,F
911,936843440,450000107,24,F
912,936843439,450000107,21,F
913,936843438,450000107,21,F
914,936843437,450000107,18,F
915,936843436,450000107,19,F
916,936843435,450000107,29,F
917,936843434,450000107,19,F
918,936843433,450000107,21,F
919,936843432,450000107,18,F
920,936843431,450000107,18,F
921,936843430,450000107,19,F
922,936843188,450000107,19,M
923,936843187,450000107,24,M
924,936843186,450000107,19,M
925,936843185,450000107,19,M
926,936843184,450000107,21,M
927,936843183,450000107,21,M
928,936843182,450000107,20,M
929,936843181,450000107,18,M
930,936843180,450000107,18,M
931,936843179,450000107,19,M
932,936843178,450000107,24,M
933,936843177,450000107,21,M
934,936843176,450000107,21,M
935,936843429,450000107,18,F
936,936843428,450000107,22,F
937,936843427,450000107,18,F
938,936843426,450000107,19,F
939,936843425,450000107,19,F
940,936843424,450000107,24,F
941,936843423,450000107,23,F
942,936843422,450000107,21,F
943,936843421,450000107,18,F
944,936843420,450000107,19,F
945,936843419,450000107,19,F
946,936843418,450000107,19,F
947,936843417,450000107,17,F
948,936843175,450000107,19,M
949,936843174,450000107,18,M
950,936843173,450000107,21,M
951,936843172,450000107,21,M
952,936843171,450000107,21,M
953,936843170,450000107,19,M
954,936843169,450000107,19,M
955,936843168,450000107,24,M
956,936843167,450000107,21,M
957,936843166,450000107,24,M
958,936843165,450000107,20,M
959,936843164,450000107,23,M
960,936843163,450000107,22,M
961,936843162,450000107,23,M
962,936843161,450000107,22,M
963,936843160,450000107,23,M
964,936843159,450000107,21,M
965,936843158,450000107,21,M
966,936843157,450000107,19,M
967,936843156,450000107,19,M
968,936843155,450000107,20,M
969,936843154,450000107,24,M
970,936843153,450000107,19,M
971,936843152,450000107,22,M
972,936843151,450000107,19,M
973,936843150,450000107,20,M
974,936843149,450000107,19,M
975,936843148,450000107,22,M
976,936843147,450000107,37,M
977,936843146,450000107,19,M
978,936843145,450000107,21,M
979,936843144,450000107,23,M
980,936843143,450000107,18,M
981,936843142,450000107,18,M
982,936843141,450000107,20,M
983,936843140,450000107,19,M
984,936843139,450000107,19,M
985,936843138,450000107,19,M
986,936843137,450000107,23,M
987,936843136,450000107,18,M
988,936843135,450000107,19,M
989,936843134,450000107,24,M
990,936843133,450000107,19,M
991,936843132,450000107,19,M
992,936843131,450000107,19,M
993,936843130,450000107,21,M
994,936843129,450000107,22,M
995,936843128,450000107,21,M
996,936843127,450000107,24,M
